"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1008.3","1010.8","1010.2","2020/10/01 10:19:00","1006.7","2020/10/01 15:17:00","24.7","28.1","2020/10/01 13:17:00","21.4","2020/10/01 00:38:00","19.1","72","53","2020/10/01 12:16:00","6.3","50","15.9","40","2020/10/01 11:34:00","0.0","0.0","0.0","--","0.0","--","9.5","80.4","20.54","18.3","5.6","9","2020/10/01 12:00:00","2.8","23.3","24.3","24.5","24.8","25.4","26.4","28.0"
"02","1008.9","1011.4","1010.2","2020/10/02 08:29:00","1006.8","2020/10/02 14:59:00","26.0","29.1","2020/10/02 11:19:00","23.8","2020/10/02 03:21:00","21.2","75","65","2020/10/02 09:37:00","5.3","50","15.0","40","2020/10/02 13:01:00","0.0","0.0","0.0","--","0.0","--","10.7","90.7","21.71","14.0","5.6","9","2020/10/02 12:00:00","2.8","24.7","25.3","25.4","25.5","25.8","25.9","27.7"
"03","1008.5","1011.0","1010.0","2020/10/03 08:45:00","1006.1","2020/10/03 14:50:00","26.7","31.6","2020/10/03 12:25:00","22.4","2020/10/03 04:26:00","22.1","77","59","2020/10/03 10:19:00","2.5","30","10.6","30","2020/10/03 15:02:00","0.0","0.0","0.0","--","0.0","--","10.8","91.7","21.42","15.7","5.3","9","2020/10/03 12:00:00","1.2","25.8","26.0","26.4","26.6","26.4","26.5","27.5"
"04","1007.7","1010.1","1009.2","2020/10/04 00:01:00","1005.4","2020/10/04 14:38:00","26.9","30.9","2020/10/04 12:08:00","22.9","2020/10/04 03:02:00","22.3","77","63","2020/10/04 15:25:00","2.9","40","11.0","50","2020/10/04 23:59:00","0.0","0.0","0.0","--","0.0","--","11.1","94.5","21.36","16.7","-4.4","9","2020/10/04 12:00:00","1.0","26.0","26.4","26.5","26.7","27.1","26.9","27.5"
"05","1011.1","1013.6","1013.6","2020/10/05 22:36:00","1008.9","2020/10/05 00:01:00","24.3","26.3","2020/10/05 00:13:00","23.1","2020/10/05 23:49:00","20.7","80","70","2020/10/05 22:39:00","8.6","50","18.8","60","2020/10/05 19:09:00","2.5","3.3","0.5","2020/10/05 05:02:00","1.5","2020/10/05 04:45:00","0.0","0.0","4.25","8.2","-3.2","4","2020/10/05 13:00:00","9.2","24.0","25.4","25.7","26.2","26.7","27.1","27.5"
"06","1013.5","1016.0","1014.8","2020/10/06 21:18:00","1011.9","2020/10/06 15:16:00","24.0","26.3","2020/10/06 13:19:00","22.6","2020/10/06 01:27:00","18.0","69","60","2020/10/06 15:35:00","8.2","50","19.4","50","2020/10/06 14:24:00","0.0","0.0","0.0","--","0.0","--","4.0","34.2","12.23","17.3","5.3","7","2020/10/06 13:00:00","6.8","23.1","24.3","24.6","25.3","26.0","26.9","27.5"
"07","1013.7","1016.2","1015.6","2020/10/07 09:37:00","1012.6","2020/10/07 14:24:00","23.9","26.4","2020/10/07 12:45:00","22.2","2020/10/07 23:59:59","17.2","66","60","2020/10/07 12:42:00","7.8","50","17.0","40","2020/10/07 19:41:00","0.0","0.0","0.0","--","0.0","--","1.3","11.1","6.55","18.7","-2.8","6","2020/10/07 13:00:00","8.7","22.9","23.9","24.2","24.7","25.5","26.5","27.5"
"08","1013.9","1016.4","1014.9","2020/10/08 07:44:00","1012.7","2020/10/08 14:30:00","23.3","26.8","2020/10/08 10:37:00","21.1","2020/10/08 03:21:00","18.5","75","58","2020/10/08 11:04:00","6.4","50","17.3","50","2020/10/08 12:34:00","7.5","2.6","1.0","2020/10/08 21:59:00","2.5","2020/10/08 21:19:00","2.7","23.2","12.15","15.5","-2.0","8","2020/10/08 11:00:00","8.5","22.9","23.8","24.0","24.4","25.4","26.1","27.3"
"09","1013.5","1016.0","1015.3","2020/10/09 09:41:00","1012.0","2020/10/09 16:09:00","23.4","26.4","2020/10/09 12:44:00","21.3","2020/10/09 00:06:00","19.0","76","63","2020/10/09 12:09:00","6.7","50","16.2","50","2020/10/09 13:25:00","2.5","2.9","0.5","2020/10/09 18:10:00","1.0","2020/10/09 17:46:00","3.0","25.8","12.88","14.5","-3.9","7","2020/10/09 13:00:00","8.8","22.6","23.9","24.0","24.1","25.2","25.9","27.0"
"10","1011.1","1013.6","1012.9","2020/10/10 00:01:00","1009.8","2020/10/10 23:58:00","24.0","25.1","2020/10/10 08:53:00","22.8","2020/10/10 00:15:00","19.5","76","70","2020/10/10 03:10:00","7.8","50","15.9","40","2020/10/10 02:15:00","T","0.6","T","2020/10/10 13:05:00","T","2020/10/10 12:15:00","0.2","1.7","6.23","16.0","-1.7","3","2020/10/10 11:00:00","10.0","22.8","23.7","24.0","24.2","25.1","25.8","27.0"
"11","1008.2","1010.7","1009.8","2020/10/11 00:01:00","1005.8","2020/10/11 14:30:00","25.5","27.8","2020/10/11 11:47:00","24.0","2020/10/11 00:18:00","22.4","83","74","2020/10/11 10:06:00","8.6","40","20.3","40","2020/10/11 14:50:00","0.5","0.3","0.5","2020/10/11 23:32:00","0.5","2020/10/11 22:42:00","7.3","63.1","19.27","16.8","-3.8","8","2020/10/11 12:00:00","8.7","24.6","24.9","24.9","24.7","25.2","25.6","26.9"
"12","1008.2","1010.7","1010.0","2020/10/12 23:58:00","1005.9","2020/10/12 13:26:00","25.1","27.1","2020/10/12 13:42:00","24.0","2020/10/12 00:07:00","22.9","88","82","2020/10/12 14:24:00","10.0","40","20.8","40","2020/10/12 15:15:00","T","0.7","T","2020/10/12 04:53:00","T","2020/10/12 04:53:00","2.1","18.2","11.89","13.2","-3.2","6","2020/10/12 13:00:00","10.0","24.8","25.3","25.3","25.4","25.7","25.9","26.7"
"13","1011.2","1013.7","1013.4","2020/10/13 21:02:00","1009.4","2020/10/13 02:41:00","24.8","27.0","2020/10/13 12:29:00","23.1","2020/10/13 05:17:00","21.5","82","76","2020/10/13 20:39:00","10.2","50","21.3","40","2020/10/13 11:11:00","0.5","1.0","0.5","2020/10/13 04:55:00","0.5","2020/10/13 04:50:00","4.2","36.4","15.33","14.3","5.3","8","2020/10/13 13:00:00","7.5","24.3","25.1","25.2","25.4","25.8","26.0","26.7"
"14","1012.9","1015.4","1014.6","2020/10/14 08:52:00","1010.9","2020/10/14 16:23:00","25.0","27.0","2020/10/14 12:08:00","23.9","2020/10/14 05:48:00","20.5","76","72","2020/10/14 12:05:00","10.4","50","22.4","50","2020/10/14 15:10:00","0.0","0.0","0.0","--","0.0","--","6.5","56.5","16.18","17.7","6.0","7","2020/10/14 13:00:00","5.2","24.2","24.9","25.1","25.3","25.7","26.0","26.8"
"15","1012.4","1014.9","1014.5","2020/10/15 10:00:00","1010.5","2020/10/15 15:35:00","25.2","27.9","2020/10/15 12:03:00","23.7","2020/10/15 05:32:00","20.5","75","69","2020/10/15 11:54:00","10.1","50","24.1","50","2020/10/15 14:34:00","0.0","0.0","0.0","--","0.0","--","7.8","67.9","16.05","14.0","4.5","7","2020/10/15 12:00:00","6.0","24.4","24.7","24.9","25.3","25.6","26.0","26.8"
"16","1012.3","1014.8","1014.6","2020/10/16 22:26:00","1010.7","2020/10/16 13:48:00","25.4","28.4","2020/10/16 11:59:00","23.5","2020/10/16 23:46:00","21.3","78","72","2020/10/16 09:37:00","9.6","50","19.6","50","2020/10/16 13:48:00","0.0","0.0","0.0","--","0.0","--","5.8","50.6","17.60","13.7","-6.1","8","2020/10/16 13:00:00","7.0","24.8","25.3","25.4","25.6","25.8","26.1","26.7"
"17","1014.7","1017.2","1016.2","2020/10/17 21:43:00","1013.4","2020/10/17 04:25:00","23.1","24.4","2020/10/17 09:29:00","21.5","2020/10/17 17:45:00","19.0","78","68","2020/10/17 04:49:00","8.8","50","17.7","40","2020/10/17 05:06:00","0.5","3.2","0.5","2020/10/17 17:03:00","0.5","2020/10/17 17:03:00","0.1","0.9","5.45","14.0","-2.4","3","2020/10/17 13:00:00","9.7","23.1","24.2","24.6","25.1","25.7","26.2","26.8"
"18","1014.9","1017.4","1016.7","2020/10/18 21:05:00","1013.3","2020/10/18 13:35:00","22.7","24.7","2020/10/18 09:39:00","21.0","2020/10/18 23:47:00","18.8","79","74","2020/10/18 11:45:00","8.4","50","18.3","60","2020/10/18 16:02:00","0.0","0.0","0.0","--","0.0","--","0.1","0.9","5.45","12.0","2.0","3","2020/10/18 10:00:00","9.5","22.5","23.6","23.8","24.3","25.1","25.8","26.7"
"19","1014.4","1016.9","1016.1","2020/10/19 20:09:00","1012.5","2020/10/19 14:37:00","23.0","25.5","2020/10/19 10:46:00","20.9","2020/10/19 00:23:00","18.6","76","65","2020/10/19 10:16:00","9.1","50","19.4","60","2020/10/19 18:08:00","T","0.3","T","2020/10/19 22:39:00","T","2020/10/19 22:39:00","2.8","24.6","11.40","15.0","-3.8","7","2020/10/19 11:00:00","8.2","22.7","23.4","23.5","23.9","25.0","25.6","26.6"
"20","1012.2","1014.7","1014.6","2020/10/20 00:01:00","1009.8","2020/10/20 23:58:00","23.7","25.7","2020/10/20 11:40:00","22.8","2020/10/20 00:07:00","19.9","79","71","2020/10/20 09:21:00","10.8","50","25.0","50","2020/10/20 13:39:00","0.0","0.0","0.0","--","0.0","--","1.4","12.3","11.48","14.0","3.7","7","2020/10/20 12:00:00","7.7","23.3","23.7","23.8","24.0","24.7","25.4","26.5"
"21","1007.1","1009.6","1009.9","2020/10/21 00:01:00","1004.9","2020/10/21 14:09:00","24.4","27.5","2020/10/21 10:57:00","22.3","2020/10/21 20:18:00","22.6","89","82","2020/10/21 09:45:00","10.7","40","22.2","50","2020/10/21 09:02:00","3.0","5.5","0.5","2020/10/21 18:05:00","1.5","2020/10/21 18:01:00","3.3","29.1","12.48","14.2","-0.7","6","2020/10/21 11:00:00","8.5","24.2","24.5","24.5","24.6","25.1","25.4","26.4"
"22","1009.7","1012.2","1013.1","2020/10/22 22:47:00","1005.9","2020/10/22 00:20:00","20.7","22.3","2020/10/22 00:01:00","19.0","2020/10/22 17:04:00","19.0","91","75","2020/10/22 21:04:00","8.1","50","19.1","50","2020/10/22 06:45:00","9.5","13.9","1.0","2020/10/22 05:39:00","2.0","2020/10/22 05:34:00","0.0","0.0","4.23","5.2","-0.9","3","2020/10/22 12:00:00","10.0","21.5","23.3","23.5","24.1","24.9","25.5","26.3"
"23","1013.2","1015.7","1014.9","2020/10/23 08:54:00","1011.1","2020/10/23 02:32:00","20.6","21.2","2020/10/23 10:12:00","19.3","2020/10/23 00:01:00","15.0","70","59","2020/10/23 19:47:00","8.5","50","19.1","60","2020/10/23 16:35:00","1.5","3.8","0.5","2020/10/23 05:28:00","0.5","2020/10/23 04:38:00","0.0","0.0","1.48","9.5","-2.9","1","2020/10/23 10:00:00","9.7","19.8","21.8","21.9","22.8","23.9","25.2","26.2"
"24","1014.1","1016.6","1016.2","2020/10/24 07:56:00","1012.7","2020/10/24 14:49:00","21.9","24.1","2020/10/24 11:02:00","20.7","2020/10/24 00:15:00","14.3","62","55","2020/10/24 09:53:00","10.7","50","23.5","50","2020/10/24 12:01:00","0.0","0.0","0.0","--","0.0","--","3.9","34.6","14.39","17.7","6.1","7","2020/10/24 12:00:00","8.0","20.2","21.6","21.7","22.0","23.3","24.5","26.1"
"25","1013.1","1015.6","1015.0","2020/10/25 08:32:00","1011.0","2020/10/25 15:23:00","23.5","27.1","2020/10/25 14:01:00","21.5","2020/10/25 01:49:00","16.6","66","56","2020/10/25 12:05:00","7.9","50","17.0","60","2020/10/25 11:40:00","0.0","0.0","0.0","--","0.0","--","7.6","67.5","16.70","20.0","4.9","8","2020/10/25 12:00:00","4.2","21.9","22.3","22.3","22.2","23.3","24.1","25.9"
"26","1011.1","1013.6","1013.6","2020/10/26 08:24:00","1008.7","2020/10/26 15:36:00","24.6","27.7","2020/10/26 14:37:00","22.6","2020/10/26 03:25:00","18.7","70","59","2020/10/26 15:38:00","8.2","50","18.3","60","2020/10/26 22:53:00","0.0","0.0","0.0","--","0.0","--","10.3","91.7","18.74","19.3","6.0","8","2020/10/26 12:00:00","2.7","22.9","23.2","23.2","23.0","23.6","24.2","25.6"
"27","1011.0","1013.5","1013.1","2020/10/27 22:03:00","1008.9","2020/10/27 14:18:00","25.4","28.6","2020/10/27 13:01:00","22.9","2020/10/27 02:39:00","18.4","65","58","2020/10/27 10:04:00","7.5","50","17.3","60","2020/10/27 09:18:00","0.0","0.0","0.0","--","0.0","--","10.6","94.6","18.32","19.3","6.1","7","2020/10/27 12:00:00","0.3","23.4","23.5","23.5","23.6","24.1","24.5","25.5"
"28","1014.0","1016.5","1015.7","2020/10/28 21:28:00","1012.2","2020/10/28 02:43:00","24.8","27.5","2020/10/28 12:21:00","23.7","2020/10/28 18:44:00","20.2","76","68","2020/10/28 09:52:00","8.4","50","18.4","30","2020/10/28 10:51:00","0.0","0.0","0.0","--","0.0","--","10.1","90.3","17.27","15.7","5.3","7","2020/10/28 12:00:00","2.3","23.9","24.0","24.0","24.0","24.5","24.6","25.5"
"29","1016.3","1018.8","1018.0","2020/10/29 08:39:00","1014.7","2020/10/29 00:36:00","23.5","25.7","2020/10/29 11:26:00","22.7","2020/10/29 17:21:00","18.8","75","68","2020/10/29 10:17:00","9.4","40","18.4","60","2020/10/29 11:32:00","0.0","0.0","0.0","--","0.0","--","0.9","8.1","10.28","14.3","5.5","6","2020/10/29 12:00:00","9.8","23.4","23.8","23.9","23.9","24.6","24.7","25.6"
