"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1020.4","1023.0","1022.1","2021/12/01 07:52:00","1018.2","2021/12/01 14:29:00","15.7","17.4","2021/12/01 10:26:00","14.4","2021/12/01 04:21:00","7.6","59","50","2021/12/01 08:47:00","9.1","50","20.4","40","2021/12/01 13:24:00","0.0","0.0","0.0","--","0.0","--","4.4","41.4","10.38","16.0","3.4","3","2021/12/01 14:00:00","8.2","16.1","17.2","18.4","19.1","20.9","21.3","22.8"
"02","1018.9","1021.5","1020.2","2021/12/02 10:09:00","1017.0","2021/12/02 14:44:00","16.3","18.7","2021/12/02 10:47:00","13.7","2021/12/02 23:59:59","10.7","69","61","2021/12/02 01:50:00","6.7","50","17.6","50","2021/12/02 01:33:00","0.0","0.0","0.0","--","0.0","--","2.8","26.4","8.57","16.8","4.1","3","2021/12/02 11:00:00","5.6","16.5","17.1","17.8","18.4","20.0","20.7","22.7"
"03","1020.0","1022.6","1021.9","2021/12/03 21:30:00","1018.0","2021/12/03 13:21:00","15.3","19.4","2021/12/03 12:19:00","11.2","2021/12/03 05:34:00","6.8","58","41","2021/12/03 10:44:00","5.3","70","15.9","40","2021/12/03 13:29:00","0.0","0.0","0.0","--","0.0","--","10.2","96.2","16.20","23.2","5.2","5","2021/12/03 12:00:00","0.8","16.0","16.3","17.1","17.9","19.6","20.2","22.5"
"04","1020.1","1022.7","1022.0","2021/12/04 08:06:00","1018.4","2021/12/04 14:35:00","17.3","20.8","2021/12/04 13:06:00","13.8","2021/12/04 02:14:00","8.7","57","44","2021/12/04 13:06:00","7.6","60","19.7","60","2021/12/04 11:23:00","0.0","0.0","0.0","--","0.0","--","10.0","94.4","15.78","20.8","4.8","5","2021/12/04 12:00:00","1.0","16.7","16.3","16.9","17.5","19.2","19.8","22.3"
"05","1018.4","1021.0","1020.4","2021/12/05 08:27:00","1016.7","2021/12/05 14:34:00","18.6","22.1","2021/12/05 11:37:00","16.6","2021/12/05 07:01:00","14.9","80","64","2021/12/05 10:23:00","6.4","60","15.4","40","2021/12/05 14:35:00","2.5","1.3","2.0","2021/12/05 23:26:00","2.5","2021/12/05 23:18:00","7.9","74.6","15.29","16.8","-1.7","5","2021/12/05 13:00:00","7.2","18.5","17.6","17.8","18.1","19.4","19.7","22.1"
"06","1017.0","1019.6","1018.2","2021/12/06 22:37:00","1015.5","2021/12/06 14:45:00","19.3","22.0","2021/12/06 13:58:00","17.3","2021/12/06 00:36:00","16.9","87","75","2021/12/06 14:00:00","8.2","60","19.4","60","2021/12/06 15:03:00","12.0","6.0","1.5","2021/12/06 05:13:00","4.0","2021/12/06 00:41:00","5.1","48.2","11.73","13.6","-3.3","4","2021/12/06 11:00:00","8.8","18.7","18.4","18.5","18.8","19.9","19.9","21.9"
"07","1019.6","1022.2","1021.0","2021/12/07 20:33:00","1017.7","2021/12/07 00:01:00","18.8","20.7","2021/12/07 12:13:00","17.4","2021/12/07 23:53:00","12.8","68","58","2021/12/07 11:55:00","9.7","60","22.1","50","2021/12/07 11:48:00","T","0.8","T","2021/12/07 00:02:00","T","2021/12/07 00:02:00","5.7","53.9","12.58","23.2","5.2","5","2021/12/07 13:00:00","4.8","17.8","17.9","18.4","18.8","20.0","20.1","21.8"
"08","1020.0","1022.6","1021.7","2021/12/08 09:37:00","1018.4","2021/12/08 15:02:00","19.5","22.1","2021/12/08 11:31:00","17.3","2021/12/08 00:08:00","13.3","67","55","2021/12/08 10:40:00","9.0","50","21.2","40","2021/12/08 15:55:00","0.0","0.0","0.0","--","0.0","--","9.9","93.7","15.62","18.8","4.9","5","2021/12/08 12:00:00","0.8","18.0","17.4","17.8","18.2","19.6","19.9","21.8"
"09","1018.7","1021.3","1019.9","2021/12/09 09:02:00","1017.8","2021/12/09 13:58:00","20.6","23.4","2021/12/09 10:19:00","19.0","2021/12/09 06:33:00","16.7","79","70","2021/12/09 09:08:00","6.4","40","15.3","40","2021/12/09 14:39:00","0.0","0.0","0.0","--","0.0","--","6.3","59.6","10.16","17.2","2.4","3","2021/12/09 12:00:00","3.6","19.2","18.4","18.6","18.7","19.8","19.9","21.7"
"10","1017.5","1020.0","1019.0","2021/12/10 08:55:00","1015.4","2021/12/10 14:41:00","21.1","23.4","2021/12/10 09:24:00","19.6","2021/12/10 23:45:00","17.7","81","66","2021/12/10 09:18:00","8.3","50","19.1","50","2021/12/10 12:03:00","0.0","0.0","0.0","--","0.0","--","7.9","74.8","13.79","19.2","3.3","5","2021/12/10 13:00:00","5.8","20.1","19.1","19.2","19.3","20.3","20.1","21.7"
"11","1018.4","1021.0","1020.1","2021/12/11 09:07:00","1016.9","2021/12/11 15:23:00","19.9","21.7","2021/12/11 13:33:00","18.9","2021/12/11 06:04:00","18.1","90","82","2021/12/11 12:38:00","8.1","40","18.1","40","2021/12/11 14:00:00","0.0","0.0","0.0","--","0.0","--","1.3","12.3","8.46","17.2","2.6","4","2021/12/11 13:00:00","9.8","19.7","19.4","19.5","19.6","20.6","20.4","21.7"
"12","1019.7","1022.3","1021.6","2021/12/12 22:28:00","1017.6","2021/12/12 01:59:00","18.7","20.0","2021/12/12 09:38:00","16.8","2021/12/12 23:03:00","16.3","86","75","2021/12/12 14:50:00","8.3","40","19.1","40","2021/12/12 23:51:00","2.5","2.1","1.0","2021/12/12 22:32:00","2.5","2021/12/12 22:32:00","0.1","0.9","4.89","16.8","-1.6","2","2021/12/12 12:00:00","10.0","18.9","18.9","19.3","19.5","20.6","20.5","21.7"
"13","1019.5","1022.1","1021.9","2021/12/13 08:13:00","1017.3","2021/12/13 15:09:00","17.6","20.0","2021/12/13 11:50:00","16.6","2021/12/13 03:49:00","15.0","85","75","2021/12/13 16:24:00","9.2","50","19.0","60","2021/12/13 17:42:00","2.5","7.3","0.5","2021/12/13 03:47:00","1.0","2021/12/13 05:05:00","1.2","11.4","6.45","13.6","-2.1","5","2021/12/13 12:00:00","8.6","17.1","17.8","18.4","18.8","20.1","20.3","21.8"
"14","1015.6","1018.1","1017.8","2021/12/14 08:17:00","1013.6","2021/12/14 17:09:00","20.0","25.4","2021/12/14 13:54:00","16.4","2021/12/14 23:24:00","16.1","79","59","2021/12/14 13:21:00","5.0","60","15.0","70","2021/12/14 01:16:00","0.0","0.0","0.0","--","0.0","--","10.1","95.8","15.25","27.2","3.0","6","2021/12/14 12:00:00","1.2","19.3","18.4","18.5","18.7","19.9","20.0","21.7"
"15","1014.1","1016.6","1016.4","2021/12/15 09:42:00","1011.6","2021/12/15 14:53:00","20.0","23.6","2021/12/15 12:03:00","16.1","2021/12/15 00:58:00","18.0","89","69","2021/12/15 12:15:00","1.7","200","5.8","330","2021/12/15 14:42:00","0.0","0.0","0.0","--","0.0","--","9.9","93.9","14.67","12.0","2.2","5","2021/12/15 12:00:00","1.2","19.8","18.9","19.0","19.2","20.3","20.1","21.6"
"16","1014.3","1016.9","1015.8","2021/12/16 23:51:00","1012.3","2021/12/16 14:24:00","20.4","23.3","2021/12/16 13:49:00","18.6","2021/12/16 07:01:00","18.8","91","73","2021/12/16 13:45:00","3.2","40","9.1","50","2021/12/16 22:23:00","0.0","0.0","0.0","--","0.0","--","7.5","71.2","13.01","9.8","-3.5","5","2021/12/16 12:00:00","2.4","21.0","19.9","19.9","19.9","20.8","20.4","21.6"
"17","1019.4","1022.0","1023.7","2021/12/17 23:21:00","1015.7","2021/12/17 03:04:00","17.8","20.7","2021/12/17 00:07:00","15.2","2021/12/17 23:04:00","13.2","75","58","2021/12/17 18:23:00","10.1","50","25.9","40","2021/12/17 22:36:00","T","0.3","T","2021/12/17 05:01:00","T","2021/12/17 05:01:00","0.0","0.0","2.41","11.2","-4.2","1","2021/12/17 12:00:00","9.8","17.9","18.5","19.3","19.7","20.8","20.7","21.7"
"18","1022.4","1025.0","1023.6","2021/12/18 10:00:00","1021.3","2021/12/18 15:08:00","15.1","17.3","2021/12/18 11:22:00","14.0","2021/12/18 06:22:00","9.0","67","56","2021/12/18 02:20:00","9.9","50","22.5","50","2021/12/18 01:04:00","T","0.8","T","2021/12/18 13:38:00","T","2021/12/18 13:38:00","1.5","14.2","7.93","15.2","-3.2","4","2021/12/18 12:00:00","8.4","15.4","16.0","17.0","17.8","19.6","20.1","21.7"
"19","1020.3","1022.9","1022.7","2021/12/19 07:21:00","1017.9","2021/12/19 15:18:00","16.7","20.2","2021/12/19 12:46:00","14.3","2021/12/19 06:33:00","9.1","61","48","2021/12/19 11:29:00","8.2","60","18.1","50","2021/12/19 15:17:00","0.0","0.0","0.0","--","0.0","--","9.6","91.1","15.53","28.0","4.8","5","2021/12/19 12:00:00","1.6","16.5","16.1","16.7","17.3","18.9","19.5","21.6"
"20","1017.0","1019.6","1018.6","2021/12/20 00:06:00","1015.3","2021/12/20 23:52:00","18.2","21.2","2021/12/20 10:59:00","15.5","2021/12/20 02:34:00","14.0","77","62","2021/12/20 10:34:00","2.0","60","8.0","60","2021/12/20 00:04:00","T","1.3","T","2021/12/20 12:15:00","T","2021/12/20 12:15:00","0.3","2.8","5.92","16.8","0.0","3","2021/12/20 11:00:00","9.8","17.8","17.3","17.5","17.8","19.0","19.3","21.4"
"21","1013.0","1015.6","1015.4","2021/12/21 00:01:00","1010.2","2021/12/21 15:24:00","17.6","18.7","2021/12/21 09:42:00","16.7","2021/12/21 22:25:00","17.1","97","91","2021/12/21 00:07:00","4.7","40","16.9","30","2021/12/21 16:05:00","42.5","18.3","2.0","2021/12/21 14:05:00","7.0","2021/12/21 13:57:00","0.0","0.0","1.64","2.9","/","1","2021/12/21 12:00:00","10.0","18.0","17.9","18.2","18.4","19.5","19.5","21.3"
