"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1005.0","1007.5","1006.4","2024/09/01 09:34:00","1003.5","2024/09/01 15:05:00","30.5","34.5","2024/09/01 10:55:00","27.2","2024/09/01 05:43:00","26.5","80","57","2024/09/01 11:03:00","3.7","40","12.0","20","2024/09/01 15:05:00","0.0","0.0","0.0","--","0.0","--","10.9","87.1","24.72","13.0","7.0","11","2024/09/01 12:00:00","2.5","2.6","30.9","30.9","30.6","30.5","31.2","30.5","29.5"
"02","1004.9","1007.3","1006.9","2024/09/02 09:39:00","1003.0","2024/09/02 16:51:00","30.3","34.0","2024/09/02 15:39:00","27.1","2024/09/02 05:57:00","24.6","73","50","2024/09/02 15:35:00","3.4","40","12.7","50","2024/09/02 16:00:00","0.0","0.0","0.0","--","0.0","--","11.7","93.6","25.41","14.0","7.9","10","2024/09/02 12:00:00","0.8","1.0","30.6","30.6","30.6","30.6","31.3","30.6","29.6"
"03","1002.9","1005.3","1005.7","2024/09/03 08:15:00","1000.4","2024/09/03 17:00:00","29.8","33.2","2024/09/03 09:48:00","25.3","2024/09/03 02:53:00","23.2","68","52","2024/09/03 16:48:00","5.3","40","18.1","50","2024/09/03 14:20:00","0.0","0.0","0.0","--","0.0","--","10.1","81.0","24.36","25.3","8.4","11","2024/09/03 12:00:00","2.3","1.3","29.9","29.9","30.0","30.1","31.1","30.6","29.7"
"04","999.4","1001.9","1001.4","2024/09/04 06:56:00","997.4","2024/09/04 15:20:00","31.4","36.9","2024/09/04 13:31:00","27.0","2024/09/04 05:15:00","23.4","64","46","2024/09/04 12:54:00","4.3","70","13.8","100","2024/09/04 21:09:00","0.0","0.0","0.0","--","0.0","--","10.2","82.0","24.05","30.0","8.5","12","2024/09/04 13:00:00","2.8","2.5","30.6","30.6","30.4","30.3","31.1","30.5","29.8"
"05","999.9","1002.3","1002.3","2024/09/05 22:12:00","998.3","2024/09/05 01:49:00","31.1","35.2","2024/09/05 12:46:00","27.1","2024/09/05 05:02:00","24.9","70","53","2024/09/05 16:01:00","2.3","90","9.2","100","2024/09/05 00:05:00","0.0","0.0","0.0","--","0.0","--","9.0","72.5","21.60","26.3","5.9","9","2024/09/05 12:00:00","4.8","3.6","31.1","31.1","30.7","30.5","31.3","30.6","29.8"
"06","1003.9","1006.3","1007.1","2024/09/06 22:07:00","1000.9","2024/09/06 02:49:00","30.2","33.0","2024/09/06 15:17:00","27.5","2024/09/06 01:51:00","26.2","79","67","2024/09/06 12:24:00","2.6","220","7.8","230","2024/09/06 23:41:00","T","0.3","T","2024/09/06 21:06:00","T","2024/09/06 21:06:00","10.9","87.9","24.02","21.5","-6.6","11","2024/09/06 12:00:00","2.5","3.6","31.3","31.3","30.8","30.7","31.5","30.8","29.9"
"07","1008.3","1010.8","1010.3","2024/09/07 21:30:00","1006.5","2024/09/07 00:01:00","29.0","32.4","2024/09/07 11:28:00","27.3","2024/09/07 05:34:00","25.5","82","66","2024/09/07 09:14:00","2.3","220","7.9","230","2024/09/07 00:03:00","2.0","1.0","1.5","2024/09/07 16:31:00","2.0","2024/09/07 16:31:00","2.3","18.6","15.27","28.0","-5.0","10","2024/09/07 12:00:00","7.5","8.7","30.8","30.8","30.6","30.7","31.6","30.9","29.9"
"08","1007.4","1009.9","1009.9","2024/09/08 00:01:00","1005.3","2024/09/08 15:36:00","28.4","31.6","2024/09/08 10:37:00","25.2","2024/09/08 05:58:00","25.4","84","71","2024/09/08 15:38:00","3.1","40","11.7","40","2024/09/08 17:38:00","29.0","2.7","8.5","2024/09/08 05:14:00","23.5","2024/09/08 05:05:00","6.9","55.9","19.16","28.8","4.2","11","2024/09/08 11:00:00","6.8","7.5","29.2","29.2","29.5","29.8","30.9","30.6","30.0"
"09","1004.6","1007.1","1006.3","2024/09/09 07:46:00","1002.8","2024/09/09 16:15:00","28.9","32.7","2024/09/09 09:55:00","25.6","2024/09/09 05:29:00","24.6","78","61","2024/09/09 09:42:00","4.7","50","16.8","50","2024/09/09 14:47:00","0.0","0.0","0.0","--","0.0","--","11.2","90.9","25.42","19.3","-8.5","12","2024/09/09 12:00:00","4.8","3.2","28.8","28.8","29.0","29.4","30.6","30.2","30.0"
"10","1004.2","1006.7","1005.4","2024/09/10 09:04:00","1003.3","2024/09/10 02:52:00","27.8","30.7","2024/09/10 11:17:00","25.0","2024/09/10 07:07:00","25.0","85","74","2024/09/10 23:31:00","3.0","140","10.2","20","2024/09/10 14:54:00","23.5","2.2","13.0","2024/09/10 06:43:00","21.5","2024/09/10 06:39:00","3.6","29.2","12.10","10.0","3.5","8","2024/09/10 12:00:00","7.0","4.8","28.1","28.1","28.4","28.8","30.0","29.9","29.9"
