"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1011.3","1013.8","1012.5","2022/10/01 08:09:00","1010.5","2022/10/01 15:08:00","27.4","32.2","2022/10/01 12:19:00","24.7","2022/10/01 03:27:00","25.3","89","62","2022/10/01 12:07:00","1.7","180","7.3","320","2022/10/01 13:05:00","0.0","0.0","0.0","--","0.0","--","9.5","80.5","19.92","12.0","5.3","9","2022/10/01 12:00:00","3.0","27.9","27.9","27.7","27.7","28.5","27.8","27.7"
"02","1011.1","1013.6","1012.4","2022/10/02 07:55:00","1010.0","2022/10/02 15:14:00","27.7","31.5","2022/10/02 10:40:00","24.7","2022/10/02 05:21:00","25.5","88","63","2022/10/02 11:24:00","2.2","180","6.5","20","2022/10/02 14:20:00","0.0","0.0","0.0","--","0.0","--","10.3","87.5","21.51","12.4","4.2","9","2022/10/02 12:00:00","0.8","28.3","28.3","27.7","27.7","28.6","27.9","27.8"
"03","1010.8","1013.3","1012.1","2022/10/03 08:26:00","1009.6","2022/10/03 16:41:00","27.6","31.2","2022/10/03 13:46:00","25.0","2022/10/03 05:25:00","25.5","89","67","2022/10/03 13:35:00","2.1","170","6.8","20","2022/10/03 14:32:00","0.0","0.0","0.0","--","0.0","--","9.7","82.5","19.49","12.8","4.9","9","2022/10/03 12:00:00","2.6","28.3","28.3","27.9","27.9","28.7","28.0","27.8"
"04","1011.0","1013.5","1012.8","2022/10/04 08:54:00","1009.5","2022/10/04 15:27:00","28.1","32.1","2022/10/04 11:55:00","25.1","2022/10/04 04:21:00","24.9","83","62","2022/10/04 12:45:00","3.9","60","14.3","60","2022/10/04 23:04:00","0.0","0.0","0.0","--","0.0","--","8.5","72.5","20.34","11.6","-5.7","9","2022/10/04 12:00:00","1.8","28.4","28.4","27.9","27.9","28.8","28.1","27.9"
"05","1012.6","1015.1","1014.6","2022/10/05 08:37:00","1011.0","2022/10/05 01:35:00","27.0","31.2","2022/10/05 14:25:00","24.5","2022/10/05 23:48:00","24.3","86","64","2022/10/05 14:21:00","9.4","50","21.0","40","2022/10/05 10:18:00","T","0.4","T","2022/10/05 07:40:00","T","2022/10/05 07:40:00","8.1","69.2","18.70","14.8","-5.3","10","2022/10/05 12:00:00","5.8","28.0","28.0","27.8","27.9","28.8","28.1","28.0"
"06","1012.9","1015.4","1014.6","2022/10/06 08:24:00","1011.0","2022/10/06 15:04:00","26.4","29.5","2022/10/06 12:27:00","24.3","2022/10/06 03:17:00","23.5","84","71","2022/10/06 12:27:00","8.6","50","17.2","40","2022/10/06 02:44:00","0.0","0.0","0.0","--","0.0","--","6.5","55.7","18.16","16.8","5.2","9","2022/10/06 13:00:00","7.8","27.2","27.2","27.3","27.5","28.6","28.0","28.0"
"07","1013.0","1015.5","1015.2","2022/10/07 23:47:00","1011.2","2022/10/07 13:37:00","26.0","30.6","2022/10/07 11:46:00","24.2","2022/10/07 22:45:00","23.6","87","66","2022/10/07 11:47:00","8.3","50","18.3","40","2022/10/07 21:03:00","0.5","1.7","0.5","2022/10/07 21:53:00","0.5","2022/10/07 21:53:00","2.0","17.2","11.26","16.4","-4.1","8","2022/10/07 12:00:00","9.8","26.7","26.7","27.0","27.1","28.3","27.8","28.0"
"08","1013.8","1016.3","1015.3","2022/10/08 00:20:00","1012.2","2022/10/08 15:46:00","25.2","29.0","2022/10/08 12:46:00","23.3","2022/10/08 04:39:00","21.4","80","61","2022/10/08 14:03:00","8.2","60","16.9","60","2022/10/08 08:54:00","T","0.1","T","2022/10/08 00:05:00","T","2022/10/08 00:05:00","3.8","32.7","13.85","18.0","6.1","8","2022/10/08 13:00:00","9.4","25.9","25.9","26.2","26.5","27.8","27.6","28.0"
"09","1014.3","1016.8","1017.1","2022/10/09 22:37:00","1012.3","2022/10/09 14:45:00","24.6","28.1","2022/10/09 10:00:00","22.1","2022/10/09 23:15:00","22.0","85","72","2022/10/09 10:01:00","7.2","50","14.8","40","2022/10/09 23:47:00","T","1.7","T","2022/10/09 16:31:00","T","2022/10/09 16:31:00","1.2","10.3","9.35","17.6","-2.9","6","2022/10/09 11:00:00","10.0","25.5","25.5","26.0","26.2","27.5","27.3","27.9"
