"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1006.1","1008.6","1007.1","2025/09/01 10:44:00","1004.2","2025/09/01 15:46:00","28.8","31.0","2025/09/01 09:00:00","27.4","2025/09/01 02:14:00","25.2","81","70","2025/09/01 09:06:00","1.4","320","5.0","310","2025/09/01 10:39:00","T","2.2","T","2025/09/01 10:33:00","T","2025/09/01 10:33:00","0.7","5.6","11.19","12.5","/","5","2025/09/01 12:00:00","10.0","10.0","30.1","30.4","31.1","31.2","31.3","30.7","29.8"
"02","1006.1","1008.6","1007.7","2025/09/02 09:47:00","1004.7","2025/09/02 03:36:00","28.7","31.3","2025/09/02 13:41:00","26.5","2025/09/02 23:37:00","25.3","82","70","2025/09/02 19:20:00","1.9","290","6.3","270","2025/09/02 10:27:00","T","0.1","T","2025/09/02 00:40:00","T","2025/09/02 00:40:00","5.0","39.9","18.70","15.0","/","8","2025/09/02 11:00:00","9.3","9.1","30.0","30.2","30.8","30.8","30.9","30.6","29.8"
"03","1006.3","1008.7","1008.0","2025/09/03 08:46:00","1004.3","2025/09/03 15:43:00","28.7","31.5","2025/09/03 12:57:00","25.8","2025/09/03 05:03:00","24.6","79","64","2025/09/03 15:32:00","2.1","190","7.4","280","2025/09/03 12:03:00","0.0","0.0","0.0","--","0.0","--","10.5","84.0","24.91","15.0","/","9","2025/09/03 12:00:00","5.0","3.1","30.0","30.2","30.9","30.9","30.9","30.5","29.8"
"04","1006.0","1008.5","1007.4","2025/09/04 08:53:00","1004.5","2025/09/04 15:11:00","28.9","31.9","2025/09/04 14:51:00","26.0","2025/09/04 05:19:00","24.4","77","61","2025/09/04 16:39:00","2.3","200","7.6","330","2025/09/04 14:55:00","0.0","0.0","0.0","--","0.0","--","10.7","85.8","25.69","17.5","/","9","2025/09/04 12:00:00","3.8","2.2","30.1","30.4","31.2","31.1","31.1","30.5","29.8"
"05","1006.0","1008.5","1007.6","2025/09/05 08:54:00","1004.7","2025/09/05 16:34:00","29.2","32.2","2025/09/05 14:41:00","26.3","2025/09/05 03:37:00","24.6","77","62","2025/09/05 10:50:00","2.1","180","6.6","300","2025/09/05 15:09:00","0.0","0.0","0.0","--","0.0","--","8.1","65.1","19.91","15.0","/","7","2025/09/05 11:00:00","4.8","2.1","30.1","30.3","31.0","31.1","31.1","30.5","29.8"
"06","1005.9","1008.3","1008.1","2025/09/06 22:05:00","1004.9","2025/09/06 03:30:00","29.7","32.6","2025/09/06 13:47:00","26.3","2025/09/06 05:56:00","25.4","78","64","2025/09/06 08:29:00","2.2","270","8.5","280","2025/09/06 13:10:00","0.0","0.0","0.0","--","0.0","--","11.4","91.8","25.25","18.0","/","9","2025/09/06 12:00:00","4.3","3.8","30.3","30.4","31.1","31.1","31.0","30.5","29.8"
"07","1007.9","1010.4","1010.7","2025/09/07 22:08:00","1006.2","2025/09/07 04:07:00","28.9","31.8","2025/09/07 11:44:00","25.6","2025/09/07 21:53:00","25.7","83","70","2025/09/07 11:45:00","3.7","250","9.9","200","2025/09/07 18:23:00","T","1.2","T","2025/09/07 08:53:00","T","2025/09/07 08:53:00","1.9","15.3","13.12","20.3","/","7","2025/09/07 12:00:00","9.0","8.1","30.3","30.6","31.3","31.3","31.3","30.6","29.8"
"08","1009.2","1011.6","1010.7","2025/09/08 23:11:00","1007.5","2025/09/08 15:22:00","29.4","32.3","2025/09/08 13:30:00","26.2","2025/09/08 00:53:00","24.7","76","62","2025/09/08 13:31:00","4.1","250","10.2","270","2025/09/08 15:26:00","0.0","0.0","0.0","--","0.0","--","10.4","84.1","25.33","32.5","/","10","2025/09/08 12:00:00","5.8","8.4","29.9","30.1","30.8","30.7","30.9","30.5","29.8"
"09","1010.0","1012.5","1011.5","2025/09/09 10:27:00","1008.3","2025/09/09 15:27:00","29.5","32.2","2025/09/09 11:29:00","26.9","2025/09/09 05:25:00","24.8","76","64","2025/09/09 08:30:00","4.0","260","11.5","260","2025/09/09 11:41:00","0.0","0.0","0.0","--","0.0","--","8.7","70.5","23.12","33.8","/","10","2025/09/09 13:00:00","8.3","9.3","30.3","30.4","31.2","31.1","31.1","30.5","29.8"
"10","1009.4","1011.9","1010.5","2025/09/10 20:49:00","1007.9","2025/09/10 16:28:00","29.3","32.1","2025/09/10 15:24:00","26.4","2025/09/10 05:35:00","24.9","77","62","2025/09/10 10:11:00","2.5","210","7.8","320","2025/09/10 12:45:00","0.0","0.0","0.0","--","0.0","--","9.0","73.0","23.49","35.0","/","10","2025/09/10 12:00:00","6.3","8.0","30.4","30.5","31.3","31.3","31.2","30.6","29.8"
