"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1012.0","1014.5","1014.0","2020/11/01 09:05:00","1009.8","2020/11/01 14:42:00","24.5","28.9","2020/11/01 14:38:00","22.0","2020/11/01 01:42:00","19.1","72","58","2020/11/01 14:29:00","6.9","50","16.2","30","2020/11/01 10:14:00","0.0","0.0","0.0","--","0.0","--","10.0","90.0","17.14","15.3","6.0","6","2020/11/01 12:00:00","1.0","23.7","23.5","23.6","23.6","24.1","24.6","25.5"
"02","1012.7","1015.2","1015.5","2020/11/02 21:26:00","1010.9","2020/11/02 03:32:00","23.7","26.5","2020/11/02 10:31:00","21.1","2020/11/02 23:58:00","18.6","73","67","2020/11/02 09:05:00","9.0","50","20.7","40","2020/11/02 14:10:00","0.0","0.0","0.0","--","0.0","--","4.6","41.5","13.52","21.0","-3.9","6","2020/11/02 12:00:00","7.8","23.1","23.6","23.7","23.9","24.4","24.7","25.5"
"03","1016.5","1019.0","1018.4","2020/11/03 21:51:00","1014.9","2020/11/03 00:03:00","20.9","22.9","2020/11/03 13:31:00","18.8","2020/11/03 21:19:00","15.1","70","57","2020/11/03 17:00:00","8.5","50","18.3","40","2020/11/03 08:45:00","0.5","1.6","0.5","2020/11/03 04:46:00","0.5","2020/11/03 04:44:00","0.3","2.7","3.36","11.2","3.8","3","2020/11/03 14:00:00","9.5","21.1","22.5","22.6","23.1","24.1","24.8","25.5"
"04","1016.6","1019.1","1018.1","2020/11/04 08:23:00","1014.6","2020/11/04 14:29:00","21.2","23.8","2020/11/04 11:27:00","19.4","2020/11/04 00:01:00","13.8","63","56","2020/11/04 10:08:00","9.3","50","22.7","40","2020/11/04 13:21:00","0.0","0.0","0.0","--","0.0","--","7.2","65.2","14.88","17.3","5.4","6","2020/11/04 12:00:00","4.0","21.0","21.9","22.0","22.4","23.4","24.4","25.5"
"05","1015.0","1017.5","1017.0","2020/11/05 09:10:00","1013.3","2020/11/05 15:35:00","22.5","24.9","2020/11/05 13:09:00","20.1","2020/11/05 04:31:00","17.4","73","64","2020/11/05 08:19:00","8.0","50","19.7","30","2020/11/05 12:29:00","0.0","0.0","0.0","--","0.0","--","7.2","65.3","14.16","17.3","3.8","6","2020/11/05 13:00:00","4.5","22.1","22.4","22.4","22.5","23.4","24.1","25.4"
"06","1008.8","1011.3","1013.7","2020/11/06 00:01:00","1005.6","2020/11/06 15:34:00","26.2","30.9","2020/11/06 14:13:00","22.3","2020/11/06 00:10:00","22.4","80","66","2020/11/06 16:04:00","7.9","40","21.9","40","2020/11/06 07:51:00","0.0","0.0","0.0","--","0.0","--","8.5","77.2","15.45","17.0","4.5","7","2020/11/06 12:00:00","6.0","24.9","24.1","24.0","23.7","24.0","24.2","25.2"
"07","1012.7","1015.2","1016.7","2020/11/07 23:26:00","1007.7","2020/11/07 00:40:00","23.6","28.1","2020/11/07 09:10:00","19.6","2020/11/07 23:49:00","21.4","88","78","2020/11/07 09:15:00","5.5","40","17.9","30","2020/11/07 20:52:00","0.5","4.1","0.5","2020/11/07 22:09:00","0.5","2020/11/07 21:19:00","0.5","4.6","7.14","9.2","-0.5","4","2020/11/07 11:00:00","9.5","23.7","24.4","24.5","24.4","24.7","24.6","25.1"
"08","1017.7","1020.3","1019.2","2020/11/08 09:14:00","1016.2","2020/11/08 03:01:00","19.7","21.0","2020/11/08 19:47:00","18.2","2020/11/08 03:25:00","16.6","82","66","2020/11/08 19:48:00","8.9","50","20.0","50","2020/11/08 20:13:00","1.0","7.9","0.5","2020/11/08 01:22:00","0.5","2020/11/08 00:32:00","0.1","0.9","4.08","10.8","-3.2","3","2020/11/08 12:00:00","10.0","20.6","22.4","22.6","23.3","24.2","24.8","25.2"
"09","1017.7","1020.2","1018.8","2020/11/09 20:11:00","1016.5","2020/11/09 04:41:00","20.9","23.1","2020/11/09 12:23:00","20.1","2020/11/09 01:54:00","13.8","64","59","2020/11/09 12:12:00","9.9","60","22.2","40","2020/11/09 09:50:00","0.0","0.0","0.0","--","0.0","--","3.9","35.6","12.48","15.0","-5.2","6","2020/11/09 12:00:00","8.8","20.9","21.8","21.9","22.4","23.5","24.4","25.2"
