"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1001.2","1003.6","1002.6","2020/09/01 11:11:00","999.9","2020/09/01 03:00:00","28.8","31.0","2020/09/01 12:22:00","27.3","2020/09/01 03:09:00","25.6","83","77","2020/09/01 12:01:00","4.1","230","11.7","220","2020/09/01 23:22:00","T","0.1","T","2020/09/01 01:47:00","T","2020/09/01 01:47:00","7.6","60.5","20.95","13.0","6.3","11","2020/09/01 13:00:00","7.7","29.3","29.5","29.7","29.7","29.9","30.1","30.0"
"02","1002.8","1005.2","1004.8","2020/09/02 22:40:00","1001.4","2020/09/02 01:58:00","29.7","32.1","2020/09/02 12:32:00","27.9","2020/09/02 05:57:00","25.9","80","70","2020/09/02 08:12:00","6.8","230","13.3","230","2020/09/02 02:03:00","0.0","0.0","0.0","--","0.0","--","10.7","85.3","23.52","13.0","-4.8","10","2020/09/02 12:00:00","4.5","29.5","29.7","29.8","29.1","29.9","30.0","30.0"
"03","1007.0","1009.5","1009.2","2020/09/03 22:10:00","1004.3","2020/09/03 00:58:00","27.8","31.1","2020/09/03 14:45:00","24.9","2020/09/03 10:18:00","25.3","86","70","2020/09/03 15:30:00","3.6","40","11.3","240","2020/09/03 01:08:00","12.0","2.4","2.5","2020/09/03 08:03:00","6.5","2020/09/03 07:33:00","4.8","38.3","12.04","9.3","-4.4","7","2020/09/03 14:00:00","6.7","28.6","29.4","29.8","29.6","29.9","30.1","29.9"
"04","1007.6","1010.1","1009.5","2020/09/04 08:25:00","1005.8","2020/09/04 16:51:00","27.8","30.6","2020/09/04 13:09:00","25.4","2020/09/04 02:30:00","24.4","82","75","2020/09/04 22:33:00","4.7","40","14.1","30","2020/09/04 17:26:00","0.0","0.0","0.0","--","0.0","--","10.6","84.8","22.87","11.3","6.1","9","2020/09/04 13:00:00","2.0","28.0","29.1","29.3","29.2","29.8","30.0","29.9"
"05","1005.6","1008.1","1007.5","2020/09/05 08:44:00","1004.0","2020/09/05 15:44:00","27.0","30.2","2020/09/05 11:59:00","24.3","2020/09/05 23:59:00","22.1","75","62","2020/09/05 17:40:00","3.6","40","10.2","10","2020/09/05 15:12:00","0.0","0.0","0.0","--","0.0","--","5.2","41.7","19.13","13.7","5.4","9","2020/09/05 13:00:00","6.0","27.2","28.6","29.0","29.0","29.5","29.9","29.9"
"06","1004.2","1006.7","1005.1","2020/09/06 08:48:00","1003.1","2020/09/06 14:27:00","26.2","29.8","2020/09/06 14:30:00","23.1","2020/09/06 23:55:00","19.1","66","46","2020/09/06 16:26:00","2.0","100","6.2","40","2020/09/06 07:55:00","0.0","0.0","0.0","--","0.0","--","10.1","81.2","25.21","15.3","6.0","10","2020/09/06 12:00:00","3.0","27.1","28.1","28.7","28.8","29.3","29.6","29.8"
"07","1007.0","1009.4","1009.5","2020/09/07 23:00:00","1004.6","2020/09/07 00:23:00","27.1","31.5","2020/09/07 12:40:00","21.0","2020/09/07 05:23:00","18.7","60","50","2020/09/07 09:54:00","2.3","40","7.2","30","2020/09/07 15:48:00","0.0","0.0","0.0","--","0.0","--","6.6","53.1","20.39","13.7","5.3","9","2020/09/07 12:00:00","5.5","26.8","27.7","28.2","28.4","29.0","29.5","29.7"
"08","1010.4","1012.9","1011.8","2020/09/08 20:10:00","1009.3","2020/09/08 01:05:00","28.3","31.6","2020/09/08 11:59:00","25.6","2020/09/08 05:31:00","23.1","74","55","2020/09/08 16:06:00","1.8","210","5.8","300","2020/09/08 14:00:00","0.0","0.0","0.0","--","0.0","--","4.7","37.9","17.24","11.5","4.1","8","2020/09/08 12:00:00","8.5","28.4","28.8","28.9","28.7","29.2","29.4","29.6"
"09","1008.4","1010.9","1011.0","2020/09/09 00:01:00","1006.6","2020/09/09 15:51:00","28.2","32.1","2020/09/09 11:47:00","25.3","2020/09/09 00:42:00","24.3","79","58","2020/09/09 10:04:00","1.5","300","6.6","310","2020/09/09 12:56:00","0.0","0.0","0.0","--","0.0","--","7.2","58.2","20.82","12.0","4.9","10","2020/09/09 13:00:00","7.8","29.2","29.2","29.5","29.2","29.6","29.5","29.5"
"10","1005.8","1008.3","1007.5","2020/09/10 09:26:00","1003.7","2020/09/10 15:13:00","27.9","31.9","2020/09/10 14:05:00","26.0","2020/09/10 05:51:00","24.8","84","69","2020/09/10 14:10:00","1.3","170","5.1","320","2020/09/10 15:31:00","T","1.4","T","2020/09/10 10:12:00","T","2020/09/10 09:25:00","4.3","34.8","12.73","11.0","-2.7","8","2020/09/10 14:00:00","7.0","29.3","29.3","29.6","29.6","29.9","29.6","29.5"
"11","1006.7","1009.2","1008.7","2020/09/11 22:05:00","1005.4","2020/09/11 15:09:00","28.5","31.5","2020/09/11 14:33:00","26.1","2020/09/11 00:58:00","25.0","82","74","2020/09/11 09:31:00","3.4","220","11.1","240","2020/09/11 11:31:00","0.0","0.0","0.0","--","0.0","--","6.5","52.8","17.93","13.7","4.3","10","2020/09/11 12:00:00","6.7","29.2","29.3","29.6","29.6","29.9","29.6","29.5"
"12","1009.7","1012.1","1011.2","2020/09/12 20:00:00","1007.7","2020/09/12 03:59:00","27.7","31.5","2020/09/12 13:28:00","26.2","2020/09/12 22:40:00","24.9","85","76","2020/09/12 13:28:00","2.9","40","11.4","30","2020/09/12 15:21:00","0.0","0.0","0.0","--","0.0","--","1.5","12.2","11.88","14.0","3.3","7","2020/09/12 14:00:00","9.2","29.0","29.3","29.6","29.6","29.9","29.7","29.5"
"13","1010.2","1012.7","1011.5","2020/09/13 08:41:00","1008.7","2020/09/13 16:30:00","27.9","31.6","2020/09/13 12:53:00","26.3","2020/09/13 03:47:00","24.9","84","73","2020/09/13 11:12:00","5.2","40","12.9","50","2020/09/13 20:24:00","0.0","0.0","0.0","--","0.0","--","4.9","39.9","19.04","16.2","-5.3","10","2020/09/13 13:00:00","8.8","28.6","29.3","29.6","29.6","29.8","29.6","29.5"
"14","1009.0","1011.4","1010.3","2020/09/14 09:26:00","1007.3","2020/09/14 15:44:00","27.8","30.7","2020/09/14 10:39:00","25.9","2020/09/14 06:12:00","25.2","86","77","2020/09/14 11:50:00","4.4","40","11.7","50","2020/09/14 12:25:00","T","0.1","T","2020/09/14 04:39:00","T","2020/09/14 04:39:00","5.8","47.4","19.30","14.0","5.0","10","2020/09/14 12:00:00","6.5","28.8","29.3","29.8","29.6","30.0","29.8","29.6"
"15","1008.1","1010.6","1009.2","2020/09/15 00:01:00","1006.9","2020/09/15 15:35:00","28.2","31.5","2020/09/15 12:53:00","26.1","2020/09/15 23:59:00","25.8","87","77","2020/09/15 13:44:00","2.6","330","7.9","330","2020/09/15 13:33:00","0.0","0.0","0.0","--","0.0","--","6.7","54.8","20.32","15.3","4.4","10","2020/09/15 13:00:00","5.8","29.6","29.7","29.8","29.7","30.0","29.8","29.7"
"16","1007.5","1010.0","1008.7","2020/09/16 09:57:00","1006.2","2020/09/16 17:06:00","28.5","32.0","2020/09/16 14:58:00","25.6","2020/09/16 06:00:00","25.8","85","72","2020/09/16 16:24:00","1.8","40","7.0","330","2020/09/16 12:22:00","0.0","0.0","0.0","--","0.0","--","7.1","58.2","17.22","12.2","5.8","9","2020/09/16 13:00:00","7.0","29.8","29.8","30.0","29.9","30.2","30.0","29.7"
"17","1007.0","1009.5","1008.5","2020/09/17 23:16:00","1005.6","2020/09/17 15:48:00","28.5","32.3","2020/09/17 14:15:00","25.4","2020/09/17 05:41:00","25.5","84","69","2020/09/17 14:12:00","1.7","290","5.3","320","2020/09/17 10:10:00","0.0","0.0","0.0","--","0.0","--","9.1","74.8","19.37","13.0","5.6","9","2020/09/17 12:00:00","7.3","29.8","29.8","30.0","29.8","30.4","30.2","29.7"
"18","1010.2","1012.6","1011.4","2020/09/18 10:21:00","1008.3","2020/09/18 00:01:00","28.7","33.0","2020/09/18 11:39:00","25.0","2020/09/18 05:55:00","25.2","82","59","2020/09/18 09:00:00","3.8","40","12.4","40","2020/09/18 18:24:00","0.0","0.0","0.0","--","0.0","--","7.3","60.1","18.95","12.0","5.7","9","2020/09/18 12:00:00","6.3","29.2","29.8","30.0","29.9","30.3","30.3","29.8"
"19","1011.1","1013.6","1012.8","2020/09/19 09:28:00","1010.1","2020/09/19 03:31:00","28.7","32.2","2020/09/19 14:18:00","27.0","2020/09/19 22:31:00","26.2","86","78","2020/09/19 12:06:00","3.2","210","9.5","30","2020/09/19 15:34:00","0.0","0.0","0.0","--","0.0","--","4.8","39.6","16.57","13.3","-6.3","10","2020/09/19 12:00:00","7.2","29.6","30.0","30.2","30.1","30.5","30.3","29.8"
"20","1010.5","1012.9","1011.6","2020/09/20 09:40:00","1009.2","2020/09/20 16:54:00","27.1","32.3","2020/09/20 12:40:00","23.9","2020/09/20 04:35:00","24.5","86","70","2020/09/20 12:33:00","5.4","40","15.0","60","2020/09/20 13:19:00","28.5","2.7","5.5","2020/09/20 06:37:00","17.0","2020/09/20 06:07:00","2.6","21.5","13.54","13.7","-2.8","8","2020/09/20 13:00:00","7.8","27.0","28.8","29.4","29.5","30.1","30.3","29.9"
"21","1009.9","1012.4","1011.0","2020/09/21 08:58:00","1008.3","2020/09/21 14:59:00","26.7","30.2","2020/09/21 12:22:00","24.4","2020/09/21 23:58:00","21.4","73","61","2020/09/21 15:02:00","5.8","50","15.1","30","2020/09/21 12:36:00","0.5","0.5","0.5","2020/09/21 08:01:00","0.5","2020/09/21 07:43:00","8.4","69.6","20.43","13.7","7.4","10","2020/09/21 12:00:00","4.5","26.3","27.9","28.3","28.9","29.8","30.0","30.0"
"22","1009.1","1011.6","1010.3","2020/09/22 08:24:00","1007.6","2020/09/22 14:50:00","26.2","30.2","2020/09/22 10:45:00","23.6","2020/09/22 05:17:00","19.4","67","53","2020/09/22 10:36:00","5.0","60","13.6","60","2020/09/22 16:50:00","0.0","0.0","0.0","--","0.0","--","9.3","77.2","21.91","17.3","7.5","10","2020/09/22 12:00:00","5.2","25.8","27.3","27.8","28.1","28.8","29.6","29.9"
"23","1008.9","1011.4","1009.9","2020/09/23 10:08:00","1007.8","2020/09/23 14:52:00","26.4","30.3","2020/09/23 12:37:00","23.0","2020/09/23 05:11:00","20.4","70","58","2020/09/23 12:42:00","3.9","40","10.1","20","2020/09/23 11:36:00","0.0","0.0","0.0","--","0.0","--","10.6","88.2","21.81","18.7","5.7","10","2020/09/23 12:00:00","2.0","26.5","27.5","27.7","28.0","28.7","29.3","29.6"
"24","1009.3","1011.8","1010.5","2020/09/24 21:20:00","1008.0","2020/09/24 04:14:00","24.2","26.3","2020/09/24 11:17:00","22.1","2020/09/24 21:53:00","21.4","84","73","2020/09/24 00:02:00","3.8","30","10.2","60","2020/09/24 16:14:00","3.0","7.3","0.5","2020/09/24 13:05:00","1.0","2020/09/24 12:28:00","0.0","0.0","1.87","13.0","-0.9","2","2020/09/24 12:00:00","10.0","25.3","26.9","27.2","27.9","28.6","29.0","29.5"
"25","1008.9","1011.4","1009.9","2020/09/25 00:01:00","1007.5","2020/09/25 14:44:00","24.0","28.0","2020/09/25 12:34:00","21.2","2020/09/25 04:55:00","20.4","81","65","2020/09/25 12:36:00","3.7","60","11.7","50","2020/09/25 13:08:00","1.0","1.1","0.5","2020/09/25 00:15:00","0.5","2020/09/25 00:15:00","1.4","11.7","8.63","14.0","3.1","6","2020/09/25 13:00:00","10.0","24.4","25.9","26.3","27.0","27.7","28.6","29.5"
"26","1009.1","1011.6","1010.9","2020/09/26 21:49:00","1007.2","2020/09/26 04:09:00","23.8","26.0","2020/09/26 13:35:00","21.9","2020/09/26 23:26:00","19.7","78","65","2020/09/26 15:17:00","5.6","60","15.1","50","2020/09/26 22:29:00","T","0.1","T","2020/09/26 20:00:00","T","2020/09/26 19:10:00","0.0","0.0","4.40","17.3","-0.4","4","2020/09/26 14:00:00","10.0","23.9","25.3","25.6","26.5","27.4","28.2","29.2"
"27","1010.5","1013.0","1012.1","2020/09/27 09:49:00","1009.2","2020/09/27 03:38:00","21.3","22.3","2020/09/27 00:35:00","20.4","2020/09/27 06:58:00","20.0","92","85","2020/09/27 00:01:00","3.7","50","13.5","50","2020/09/27 00:02:00","49.5","16.3","2.5","2020/09/27 06:48:00","7.0","2020/09/27 06:02:00","0.0","0.0","1.16","7.3","/","1","2020/09/27 11:00:00","10.0","22.9","24.2","24.5","25.4","26.3","27.8","29.0"
"28","1009.5","1012.0","1011.4","2020/09/28 08:34:00","1008.0","2020/09/28 14:50:00","22.1","23.2","2020/09/28 13:12:00","21.4","2020/09/28 00:01:00","20.6","91","88","2020/09/28 18:41:00","2.8","60","10.3","30","2020/09/28 09:59:00","9.0","11.0","1.0","2020/09/28 15:46:00","2.5","2020/09/28 15:45:00","0.0","0.0","2.20","11.5","-0.3","2","2020/09/28 13:00:00","9.8","23.1","24.3","24.4","25.1","25.8","27.0","28.7"
"29","1007.1","1009.6","1009.2","2020/09/29 00:20:00","1004.9","2020/09/29 15:07:00","24.2","27.6","2020/09/29 12:12:00","22.1","2020/09/29 00:01:00","20.3","79","64","2020/09/29 15:42:00","3.2","60","8.6","20","2020/09/29 13:33:00","T","0.2","T","2020/09/29 07:11:00","T","2020/09/29 07:11:00","0.4","3.4","10.24","14.0","-1.6","7","2020/09/29 12:00:00","9.5","23.7","24.7","25.0","25.2","25.7","26.6","28.4"
"30","1007.9","1010.4","1009.7","2020/09/30 09:35:00","1005.8","2020/09/30 04:00:00","21.5","22.7","2020/09/30 00:01:00","20.3","2020/09/30 05:39:00","18.6","84","78","2020/09/30 16:34:00","3.6","70","9.3","70","2020/09/30 02:30:00","2.0","3.4","0.5","2020/09/30 12:40:00","1.5","2020/09/30 12:13:00","0.0","0.0","5.11","11.2","-2.5","2","2020/09/30 14:00:00","8.0","22.7","24.1","24.5","25.0","25.7","26.6","28.1"
