"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1005.6","1008.1","1007.1","2021/04/01 06:46:00","1004.1","2021/04/01 02:13:00","24.4","26.8","2021/04/01 12:18:00","21.9","2021/04/01 23:46:00","22.8","91","79","2021/04/01 16:16:00","3.1","230","11.3","220","2021/04/01 11:01:00","0.0","0.0","0.0","--","0.0","--","3.0","24.3","13.78","10.7","2.9","6","2021/04/01 13:00:00","6.8","23.0","22.3","22.0","21.7","22.0","20.9","20.2"
"02","1007.9","1010.4","1009.4","2021/04/02 08:54:00","1006.1","2021/04/02 02:48:00","24.2","26.8","2021/04/02 12:00:00","21.7","2021/04/02 04:43:00","22.6","91","79","2021/04/02 09:05:00","1.9","300","6.8","230","2021/04/02 10:30:00","0.0","0.0","0.0","--","0.0","--","4.8","38.8","16.73","8.5","2.6","7","2021/04/02 12:00:00","7.7","23.0","22.6","22.4","22.1","22.4","21.3","20.4"
"03","1009.8","1012.3","1011.6","2021/04/03 08:30:00","1008.2","2021/04/03 14:30:00","22.9","26.0","2021/04/03 11:52:00","20.9","2021/04/03 05:16:00","21.1","90","77","2021/04/03 14:43:00","3.1","40","9.4","40","2021/04/03 21:51:00","T","0.1","T","2021/04/03 23:06:00","T","2021/04/03 23:06:00","6.4","51.6","18.58","11.5","-3.8","7","2021/04/03 12:00:00","6.2","23.0","22.8","22.8","22.5","22.9","21.6","20.6"
"04","1013.7","1016.3","1017.0","2021/04/04 21:39:00","1010.6","2021/04/04 02:13:00","18.9","22.1","2021/04/04 00:13:00","17.1","2021/04/04 23:57:00","15.8","83","69","2021/04/04 20:56:00","8.5","50","20.1","20","2021/04/04 13:15:00","T","1.0","T","2021/04/04 00:19:00","T","2021/04/04 00:19:00","0.4","3.2","7.65","14.0","3.0","5","2021/04/04 12:00:00","9.0","19.5","20.5","21.4","21.8","22.6","21.8","20.9"
"05","1017.0","1019.6","1019.1","2021/04/05 07:35:00","1015.0","2021/04/05 15:41:00","16.9","18.9","2021/04/05 12:36:00","15.6","2021/04/05 22:51:00","10.5","66","49","2021/04/05 10:27:00","7.4","60","17.2","50","2021/04/05 09:25:00","0.0","0.0","0.0","--","0.0","--","10.7","85.9","22.29","25.0","5.9","9","2021/04/05 12:00:00","1.2","17.8","18.4","19.4","20.1","21.3","21.2","21.1"
"06","1016.3","1018.9","1018.4","2021/04/06 21:42:00","1014.4","2021/04/06 15:11:00","18.3","21.1","2021/04/06 11:48:00","15.7","2021/04/06 05:13:00","13.1","72","61","2021/04/06 11:50:00","6.6","60","16.6","60","2021/04/06 16:28:00","0.0","0.0","0.0","--","0.0","--","8.4","67.3","21.75","21.7","5.0","10","2021/04/06 13:00:00","3.5","18.7","18.7","19.4","19.8","20.9","20.7","21.1"
"07","1014.1","1016.6","1017.4","2021/04/07 00:01:00","1011.6","2021/04/07 16:27:00","19.8","22.5","2021/04/07 12:17:00","16.8","2021/04/07 02:20:00","14.4","71","59","2021/04/07 10:42:00","6.8","50","17.7","30","2021/04/07 13:09:00","0.0","0.0","0.0","--","0.0","--","7.8","62.4","22.33","20.8","5.4","11","2021/04/07 12:00:00","4.8","20.1","19.9","19.8","20.0","21.0","20.6","21.0"
"08","1013.0","1015.6","1016.4","2021/04/08 21:21:00","1009.8","2021/04/08 03:22:00","18.3","22.1","2021/04/08 08:49:00","15.6","2021/04/08 20:20:00","16.4","89","76","2021/04/08 00:01:00","5.9","40","17.7","50","2021/04/08 19:59:00","2.0","7.9","0.5","2021/04/08 16:17:00","1.0","2021/04/08 19:18:00","0.0","0.0","3.78","11.7","-0.5","2","2021/04/08 11:00:00","9.7","19.2","19.4","19.9","20.2","21.1","20.7","21.0"
"09","1016.3","1018.9","1017.7","2021/04/09 10:16:00","1013.7","2021/04/09 03:00:00","16.5","17.3","2021/04/09 21:44:00","15.9","2021/04/09 03:01:00","13.6","84","75","2021/04/09 21:19:00","8.1","40","17.3","40","2021/04/09 21:40:00","T","7.4","T","2021/04/09 00:01:00","T","2021/04/09 00:01:00","0.0","0.0","2.42","12.8","-1.3","1","2021/04/09 14:00:00","8.7","16.7","17.3","18.2","18.9","20.3","20.4","21.0"
