"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1016.2","1018.8","1017.9","2024/02/01 08:22:00","1014.4","2024/02/01 14:53:00","19.4","24.1","2024/02/01 13:13:00","14.9","2024/02/01 06:28:00","17.8","91","65","2024/02/01 13:18:00","1.3","310","8.1","50","2024/02/01 23:26:00","0.0","0.0","0.0","--","0.0","--","7.0","63.8","16.23","9.1","2.6","7","2024/02/01 13:00:00","6.0","5.7","18.4","18.4","17.4","17.2","17.8","17.1","18.0"
"02","1017.7","1020.3","1019.1","2024/02/02 10:33:00","1015.8","2024/02/02 01:17:00","17.6","19.5","2024/02/02 00:01:00","16.4","2024/02/02 17:26:00","17.5","99","97","2024/02/02 13:49:00","6.5","40","13.8","30","2024/02/02 22:38:00","T","0.4","T","2024/02/02 12:01:00","T","2024/02/02 12:01:00","0.0","0.0","4.47","9.0","-1.0","4","2024/02/02 13:00:00","10.0","8.2","17.9","17.9","17.7","17.6","18.3","17.6","18.2"
"03","1017.6","1020.2","1020.0","2024/02/03 08:03:00","1015.9","2024/02/03 17:31:00","17.4","20.5","2024/02/03 11:37:00","16.3","2024/02/03 07:50:00","17.3","99","88","2024/02/03 11:48:00","5.5","50","13.1","50","2024/02/03 01:54:00","T","0.6","T","2024/02/03 06:39:00","T","2024/02/03 06:39:00","1.0","9.1","7.67","9.8","1.6","7","2024/02/03 12:00:00","9.5","6.9","17.5","17.5","17.3","17.4","18.2","17.8","18.4"
"04","1015.9","1018.4","1019.3","2024/02/04 21:13:00","1011.7","2024/02/04 15:42:00","17.5","22.2","2024/02/04 13:45:00","12.2","2024/02/04 20:44:00","17.2","98","86","2024/02/04 14:01:00","5.3","40","13.8","40","2024/02/04 04:21:00","1.5","2.4","0.5","2024/02/04 20:23:00","0.5","2024/02/04 20:23:00","1.9","17.3","10.33","15.8","-2.3","6","2024/02/04 14:00:00","9.3","9.5","17.9","17.9","17.7","17.7","18.4","17.9","18.6"
"05","1018.2","1020.8","1020.6","2024/02/05 10:01:00","1015.3","2024/02/05 14:41:00","16.0","17.7","2024/02/05 14:06:00","13.7","2024/02/05 00:01:00","15.2","95","82","2024/02/05 14:59:00","5.3","50","18.5","40","2024/02/05 22:39:00","26.0","6.9","3.5","2024/02/05 07:24:00","7.5","2024/02/05 04:25:00","0.0","0.0","3.12","17.8","-0.7","2","2024/02/05 13:00:00","10.0","9.4","16.5","16.5","16.8","17.1","18.2","18.0","18.8"
"06","1018.6","1021.2","1020.9","2024/02/06 09:39:00","1017.2","2024/02/06 23:46:00","16.1","18.4","2024/02/06 12:01:00","14.6","2024/02/06 03:13:00","14.5","90","80","2024/02/06 12:02:00","7.1","50","17.3","60","2024/02/06 05:29:00","0.0","0.0","0.0","--","0.0","--","0.2","1.8","6.96","16.0","-1.1","5","2024/02/06 12:00:00","10.0","8.4","16.0","16.0","16.3","16.5","17.7","17.7","18.8"
"07","1016.9","1019.5","1017.9","2024/02/07 08:46:00","1014.7","2024/02/07 14:26:00","13.8","16.1","2024/02/07 01:28:00","12.1","2024/02/07 17:00:00","13.5","98","90","2024/02/07 17:42:00","7.3","40","17.4","50","2024/02/07 16:17:00","17.0","16.0","1.5","2024/02/07 15:33:00","4.5","2024/02/07 19:01:00","0.0","0.0","2.15","7.0","-0.1","2","2024/02/07 11:00:00","10.0","9.7","15.0","15.0","15.9","16.3","17.5","17.5","18.8"
"08","1016.9","1019.5","1018.3","2024/02/08 23:50:00","1014.9","2024/02/08 03:19:00","12.6","13.3","2024/02/08 06:41:00","11.3","2024/02/08 16:32:00","12.2","98","90","2024/02/08 18:53:00","8.4","40","17.4","40","2024/02/08 14:57:00","5.5","18.9","1.0","2024/02/08 01:06:00","2.0","2024/02/08 00:19:00","0.0","0.0","1.42","10.0","-0.1","1","2024/02/08 12:00:00","10.0","10.0","13.5","13.5","14.6","15.1","16.6","17.0","18.7"
"09","1021.6","1024.2","1023.5","2024/02/09 22:58:00","1018.0","2024/02/09 00:10:00","11.7","12.9","2024/02/09 23:59:00","10.5","2024/02/09 09:03:00","9.8","88","70","2024/02/09 23:59:59","6.6","40","15.8","20","2024/02/09 07:00:00","10.0","10.2","1.0","2024/02/09 00:32:00","4.0","2024/02/09 02:20:00","0.0","0.0","1.88","9.5","-2.2","1","2024/02/09 12:00:00","10.0","9.1","12.5","12.5","13.7","14.3","15.9","16.4","18.5"
"10","1024.0","1026.6","1025.4","2024/02/10 09:04:00","1022.5","2024/02/10 15:42:00","13.2","16.1","2024/02/10 13:53:00","10.2","2024/02/10 05:36:00","6.9","65","55","2024/02/10 11:09:00","5.6","60","13.9","40","2024/02/10 12:17:00","0.0","0.0","0.0","--","0.0","--","3.0","26.9","12.76","10.0","1.6","6","2024/02/10 12:00:00","6.5","8.3","12.7","12.7","13.6","14.0","15.5","16.0","18.3"
