"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","能見度_自動(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","VisbMean Auto","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"11","1016.8","1019.4","1018.0","2025/12/11 08:50:00","1015.6","2025/12/11 13:31:00","19.3","22.1","2025/12/11 10:53:00","15.5","2025/12/11 05:57:00","15.9","81","69","2025/12/11 10:55:00","4.9","50","15.3","40","2025/12/11 22:43:00","0.0","0.0","0.0","--","0.0","--","7.0","66.3","13.37","21.8","--","5.0","4","2025/12/11 13:00:00","6.0","3.1","19.5","19.6","20.2","20.2","20.9","21.1","22.4"
"12","1016.4","1018.9","1018.0","2025/12/12 08:26:00","1014.9","2025/12/12 14:29:00","20.6","22.7","2025/12/12 10:22:00","19.6","2025/12/12 21:54:00","16.0","75","65","2025/12/12 10:22:00","8.6","60","18.8","40","2025/12/12 13:26:00","0.0","0.0","0.0","--","0.0","--","2.5","23.7","11.12","16.0","--","-2.6","4","2025/12/12 11:00:00","9.5","9.0","19.5","19.6","20.3","20.3","20.9","21.1","22.4"
"13","1017.6","1020.2","1020.5","2025/12/13 21:47:00","1015.8","2025/12/13 14:12:00","18.7","20.6","2025/12/13 00:01:00","16.0","2025/12/13 23:37:00","15.9","84","70","2025/12/13 18:13:00","7.1","40","15.3","40","2025/12/13 01:04:00","0.5","8.8","0.5","2025/12/13 10:53:00","0.5","2025/12/13 10:53:00","0.0","0.0","2.19","10.0","--","-1.8","1","2025/12/13 12:00:00","10.0","10.0","19.1","19.5","20.1","20.2","20.9","21.1","22.4"
"14","1021.2","1023.8","1023.2","2025/12/14 09:57:00","1019.7","2025/12/14 01:42:00","15.2","17.0","2025/12/14 00:09:00","13.4","2025/12/14 17:32:00","7.9","62","53","2025/12/14 10:12:00","8.8","50","19.0","50","2025/12/14 15:33:00","0.0","0.0","0.0","--","0.0","--","5.0","47.4","13.08","21.5","--","5.3","4","2025/12/14 13:00:00","7.5","9.2","16.7","17.6","18.6","18.9","20.3","20.9","22.4"
"15","1018.3","1020.9","1020.5","2025/12/15 00:11:00","1016.6","2025/12/15 15:33:00","17.9","22.4","2025/12/15 12:55:00","14.1","2025/12/15 00:05:00","9.6","58","45","2025/12/15 12:56:00","5.8","60","17.4","50","2025/12/15 02:14:00","0.0","0.0","0.0","--","0.0","--","5.9","56.0","12.75","18.0","--","1.8","4","2025/12/15 13:00:00","6.0","6.8","17.0","17.1","17.9","18.1","19.4","20.2","22.2"
"16","1017.4","1020.0","1019.2","2025/12/16 09:13:00","1015.7","2025/12/16 14:53:00","17.5","22.3","2025/12/16 13:33:00","12.2","2025/12/16 05:58:00","14.6","83","63","2025/12/16 13:54:00","2.2","30","9.8","20","2025/12/16 14:51:00","0.0","0.0","0.0","--","0.0","--","8.2","77.8","14.43","13.0","--","1.9","4","2025/12/16 12:00:00","1.8","1.8","17.9","17.9","18.5","18.6","19.5","20.0","22.0"
"17","1018.2","1020.8","1019.4","2025/12/17 09:05:00","1016.9","2025/12/17 14:58:00","19.5","24.0","2025/12/17 11:28:00","14.4","2025/12/17 01:12:00","16.0","81","63","2025/12/17 11:29:00","6.3","40","20.5","50","2025/12/17 22:27:00","0.0","0.0","0.0","--","0.0","--","9.1","86.4","15.14","23.0","--","4.2","5","2025/12/17 12:00:00","4.0","3.3","18.7","18.6","19.1","19.0","19.7","20.1","21.9"
"18","1016.7","1019.3","1019.3","2025/12/18 08:33:00","1014.4","2025/12/18 16:20:00","20.1","22.5","2025/12/18 13:09:00","18.2","2025/12/18 23:45:00","15.9","77","68","2025/12/18 06:30:00","7.5","50","18.3","50","2025/12/18 01:26:00","T","0.1","T","2025/12/18 17:38:00","T","2025/12/18 17:38:00","1.6","15.2","10.29","17.5","--","-2.3","4","2025/12/18 13:00:00","8.0","8.9","19.0","19.1","19.7","19.6","20.1","20.3","21.8"
"19","1015.1","1017.7","1016.6","2025/12/19 08:41:00","1013.5","2025/12/19 14:38:00","19.4","21.6","2025/12/19 10:15:00","17.6","2025/12/19 02:23:00","18.4","94","87","2025/12/19 10:17:00","2.4","40","7.9","40","2025/12/19 13:19:00","1.5","3.3","0.5","2025/12/19 15:56:00","0.5","2025/12/19 15:56:00","0.0","0.0","2.85","9.0","--","0.0","1","2025/12/19 11:00:00","10.0","10.0","19.5","19.5","20.0","19.9","20.3","20.4","21.8"
"20","1015.0","1017.6","1016.7","2025/12/20 09:40:00","1013.6","2025/12/20 15:13:00","20.2","20.9","2025/12/20 13:17:00","19.4","2025/12/20 00:01:00","19.1","94","91","2025/12/20 02:47:00","4.3","40","9.2","40","2025/12/20 15:24:00","T","0.1","T","2025/12/20 00:01:00","T","2025/12/20 00:01:00","0.0","0.0","3.23","13.0","--","1.0","1","2025/12/20 12:00:00","10.0","8.7","19.9","19.9","20.4","20.3","20.6","20.6","21.8"
"21","1018.3","1020.8","1019.9","2025/12/21 20:16:00","1015.6","2025/12/21 00:01:00","18.9","20.7","2025/12/21 00:49:00","17.9","2025/12/21 21:08:00","15.4","80","71","2025/12/21 19:13:00","9.8","50","21.3","40","2025/12/21 12:42:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","1.81","11.8","--","2.4","1","2025/12/21 12:00:00","10.0","8.8","18.9","19.4","20.1","20.1","20.7","20.8","21.8"
"22","1016.8","1019.4","1019.1","2025/12/22 08:34:00","1014.7","2025/12/22 14:44:00","19.3","22.3","2025/12/22 13:43:00","17.7","2025/12/22 04:07:00","14.1","72","59","2025/12/22 13:56:00","9.4","50","18.9","50","2025/12/22 08:51:00","0.0","0.0","0.0","--","0.0","--","9.3","88.3","14.89","25.0","--","4.1","4","2025/12/22 12:00:00","5.8","4.9","18.5","18.6","19.3","19.3","20.2","20.6","21.8"
"23","1014.1","1016.6","1016.3","2025/12/23 09:03:00","1012.3","2025/12/23 15:19:00","20.7","24.1","2025/12/23 12:55:00","18.8","2025/12/23 22:26:00","18.3","86","74","2025/12/23 00:06:00","4.9","40","11.8","60","2025/12/23 00:57:00","0.0","0.0","0.0","--","0.0","--","6.3","59.8","13.50","22.5","--","1.7","4","2025/12/23 12:00:00","7.5","6.0","19.9","19.5","20.0","19.9","20.2","20.4","21.7"
"24","1011.9","1014.4","1013.9","2025/12/24 00:07:00","1009.0","2025/12/24 14:40:00","20.6","22.9","2025/12/24 14:12:00","17.6","2025/12/24 06:39:00","17.7","84","71","2025/12/24 14:43:00","6.4","40","16.5","50","2025/12/24 11:18:00","T","0.2","T","2025/12/24 22:22:00","T","2025/12/24 22:22:00","8.0","75.9","14.28","21.5","--","-2.4","4","2025/12/24 12:00:00","3.5","5.4","20.0","20.0","20.5","20.4","20.7","20.6","21.7"
"25","1017.3","1019.9","1020.7","2025/12/25 20:20:00","1011.5","2025/12/25 00:27:00","14.8","19.6","2025/12/25 00:01:00","12.3","2025/12/25 19:00:00","12.1","84","64","2025/12/25 22:40:00","9.0","40","19.4","50","2025/12/25 18:36:00","2.5","15.7","0.5","2025/12/25 07:25:00","1.0","2025/12/25 16:19:00","0.0","0.0","5.76","9.0","--","-2.0","1","2025/12/25 12:00:00","10.0","9.9","17.2","18.3","19.2","19.5","20.6","20.8","21.7"
"26","1018.9","1021.5","1021.1","2025/12/26 09:03:00","1017.4","2025/12/26 14:55:00","13.9","14.9","2025/12/26 11:48:00","13.1","2025/12/26 18:24:00","9.3","74","61","2025/12/26 12:02:00","8.5","60","19.5","40","2025/12/26 08:17:00","0.5","4.3","0.5","2025/12/26 00:10:00","0.5","2025/12/26 00:10:00","0.0","0.0","X","19.3","--","-2.0","1","2025/12/26 12:00:00","10.0","10.0","15.3","16.1","17.1","17.5","19.3","20.1","21.6"
"27","1017.6","1020.2","1019.4","2025/12/27 08:57:00","1016.4","2025/12/27 14:39:00","15.8","18.1","2025/12/27 11:59:00","14.6","2025/12/27 07:50:00","13.3","85","74","2025/12/27 12:14:00","6.1","60","15.1","50","2025/12/27 20:31:00","0.5","3.3","0.5","2025/12/27 07:49:00","0.5","2025/12/27 07:14:00","0.2","1.9","X","16.5","--","-0.1","3","2025/12/27 12:00:00","9.3","9.7","16.5","16.7","17.4","17.6","18.8","19.5","21.5"
"28","1015.9","1018.5","1017.4","2025/12/28 09:05:00","1015.1","2025/12/28 14:16:00","16.6","19.0","2025/12/28 09:06:00","15.3","2025/12/28 00:01:00","13.8","84","72","2025/12/28 15:45:00","5.9","60","15.5","40","2025/12/28 09:33:00","T","1.1","T","2025/12/28 13:39:00","T","2025/12/28 13:39:00","0.5","4.7","X","19.3","--","-1.9","2","2025/12/28 15:00:00","9.5","10.0","17.0","17.1","17.8","17.9","18.8","19.3","21.3"
"29","1012.9","1015.4","1015.3","2025/12/29 00:01:00","1010.8","2025/12/29 14:23:00","19.8","22.8","2025/12/29 12:42:00","16.3","2025/12/29 00:01:00","15.0","74","58","2025/12/29 12:46:00","6.1","50","15.6","30","2025/12/29 12:48:00","0.0","0.0","0.0","--","0.0","--","5.0","47.4","X","31.3","--","-2.6","5","2025/12/29 12:00:00","6.8","8.8","18.0","17.9","18.4","18.3","18.9","19.3","21.1"
"30","1013.0","1015.6","1015.4","2025/12/30 09:14:00","1011.6","2025/12/30 00:29:00","18.7","19.9","2025/12/30 00:02:00","17.3","2025/12/30 20:32:00","16.0","84","70","2025/12/30 22:48:00","6.9","40","16.0","40","2025/12/30 17:27:00","0.5","3.8","0.5","2025/12/30 09:24:00","0.5","2025/12/30 08:27:00","0.0","0.0","X","13.0","--","-1.5","2","2025/12/30 13:00:00","9.8","9.3","18.4","18.5","19.1","19.0","19.4","19.5","21.0"
"31","1013.5","1016.1","1015.2","2025/12/31 09:17:00","1011.9","2025/12/31 15:09:00","16.6","19.0","2025/12/31 02:22:00","15.5","2025/12/31 22:51:00","14.8","89","68","2025/12/31 02:43:00","8.0","40","17.8","60","2025/12/31 23:56:00","10.0","14.8","1.0","2025/12/31 11:18:00","2.0","2025/12/31 11:18:00","0.0","0.0","X","6.0","12.8","/","1","2025/12/31 14:00:00","10.0","10.0","17.5","17.8","18.5","18.6","19.3","19.6","21.0"
