"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1010.8","1013.3","1013.0","2020/05/01 09:11:00","1009.0","2020/05/01 16:36:00","23.8","28.8","2020/05/01 12:01:00","19.5","2020/05/01 00:01:00","21.5","87","60","2020/05/01 11:53:00","1.4","320","5.6","320","2020/05/01 13:28:00","0.0","0.0","0.0","--","0.0","--","3.5","26.8","17.71","8.7","4.8","11","2020/05/01 12:00:00","7.5","23.7","23.7","23.8","23.3","23.1","22.6","22.0"
"02","1007.7","1010.2","1009.7","2020/05/02 07:44:00","1006.0","2020/05/02 23:55:00","25.2","28.6","2020/05/02 11:27:00","22.4","2020/05/02 03:47:00","21.3","80","52","2020/05/02 13:25:00","1.9","260","6.6","290","2020/05/02 10:38:00","0.0","0.0","0.0","--","0.0","--","3.0","23.0","17.61","8.2","5.8","12","2020/05/02 12:00:00","7.5","24.4","24.3","24.3","23.9","23.6","23.1","22.3"
"03","1006.2","1008.7","1007.9","2020/05/03 21:42:00","1004.7","2020/05/03 14:10:00","26.1","28.9","2020/05/03 14:07:00","23.2","2020/05/03 00:34:00","23.7","86","78","2020/05/03 14:02:00","4.5","250","13.1","250","2020/05/03 14:10:00","0.0","0.0","0.0","--","0.0","--","7.4","56.6","23.19","14.0","6.9","11","2020/05/03 12:00:00","5.8","25.7","25.0","24.9","24.4","24.3","23.5","22.5"
"04","1008.0","1010.5","1009.2","2020/05/04 09:42:00","1006.6","2020/05/04 01:53:00","27.0","29.8","2020/05/04 13:12:00","25.2","2020/05/04 00:01:00","23.9","84","74","2020/05/04 10:23:00","5.4","240","11.5","230","2020/05/04 06:56:00","0.0","0.0","0.0","--","0.0","--","10.9","83.2","25.38","13.3","7.3","11","2020/05/04 12:00:00","3.0","26.7","25.9","25.8","25.4","25.0","24.0","22.6"
"05","1005.8","1008.3","1008.4","2020/05/05 00:01:00","1003.1","2020/05/05 17:28:00","27.5","31.1","2020/05/05 09:26:00","24.6","2020/05/05 04:23:00","24.0","81","64","2020/05/05 23:59:00","6.3","230","18.8","220","2020/05/05 15:55:00","0.0","0.0","0.0","--","0.0","--","9.1","69.4","22.37","10.7","7.9","11","2020/05/05 12:00:00","4.8","26.7","26.3","26.3","26.0","25.5","24.5","22.8"
"06","1006.8","1009.3","1009.3","2020/05/06 22:27:00","1003.6","2020/05/06 03:36:00","26.7","30.2","2020/05/06 11:12:00","23.4","2020/05/06 22:39:00","22.7","79","63","2020/05/06 00:05:00","5.8","240","18.2","250","2020/05/06 00:10:00","0.0","0.0","0.0","--","0.0","--","3.9","29.7","15.66","12.3","-4.9","11","2020/05/06 12:00:00","7.8","26.2","26.2","26.3","26.1","25.9","25.0","23.1"
"07","1008.2","1010.7","1009.5","2020/05/07 04:37:00","1006.8","2020/05/07 04:45:00","25.2","28.3","2020/05/07 13:09:00","22.7","2020/05/07 04:11:00","22.8","87","75","2020/05/07 15:28:00","1.7","80","8.4","120","2020/05/07 04:47:00","22.9","1.5","7.5","2020/05/07 04:08:00","20.9","2020/05/07 03:48:00","0.4","3.0","10.90","12.7","2.5","6","2020/05/07 11:00:00","8.3","25.0","25.3","25.6","25.6","25.5","25.1","23.5"
"08","1007.2","1009.7","1008.7","2020/05/08 08:57:00","1005.5","2020/05/08 16:23:00","27.3","30.0","2020/05/08 12:18:00","23.8","2020/05/08 04:43:00","24.6","86","78","2020/05/08 09:19:00","3.6","220","11.6","220","2020/05/08 19:52:00","0.0","0.0","0.0","--","0.0","--","7.7","58.4","23.25","11.8","6.1","12","2020/05/08 12:00:00","5.3","27.0","26.4","26.4","26.2","25.7","25.1","23.8"
"09","1006.3","1008.8","1007.5","2020/05/09 09:54:00","1004.4","2020/05/09 16:48:00","28.0","30.6","2020/05/09 12:38:00","26.1","2020/05/09 04:25:00","24.9","83","74","2020/05/09 12:55:00","6.3","230","15.3","230","2020/05/09 10:55:00","0.0","0.0","0.0","--","0.0","--","8.7","65.9","23.56","16.0","6.3","12","2020/05/09 13:00:00","3.5","27.6","27.0","27.2","26.8","26.4","25.5","24.0"
"10","1007.7","1010.2","1009.9","2020/05/10 20:34:00","1006.1","2020/05/10 14:27:00","27.5","31.5","2020/05/10 09:10:00","25.2","2020/05/10 23:48:00","24.9","86","67","2020/05/10 09:32:00","3.5","210","8.5","240","2020/05/10 13:54:00","0.0","0.0","0.0","--","0.0","--","5.1","38.6","19.93","15.0","5.1","11","2020/05/10 12:00:00","6.3","27.7","27.3","27.4","27.0","26.7","25.9","24.1"
"11","1008.7","1011.2","1010.3","2020/05/11 08:14:00","1007.2","2020/05/11 16:23:00","24.8","27.2","2020/05/11 12:41:00","23.7","2020/05/11 20:34:00","22.9","90","80","2020/05/11 12:38:00","4.6","40","11.1","30","2020/05/11 01:12:00","0.0","0.0","0.0","--","0.0","--","0.4","3.0","12.44","13.5","-2.8","7","2020/05/11 13:00:00","10.0","25.8","26.7","26.9","26.9","26.8","26.2","24.5"
"12","1009.3","1011.8","1011.0","2020/05/12 22:06:00","1007.2","2020/05/12 03:54:00","23.4","24.8","2020/05/12 16:15:00","22.0","2020/05/12 21:59:00","21.0","87","75","2020/05/12 21:27:00","3.7","50","9.3","50","2020/05/12 15:59:00","9.8","1.9","5.0","2020/05/12 09:52:00","8.0","2020/05/12 09:45:00","0.6","4.5","5.08","12.7","-2.4","3","2020/05/12 15:00:00","9.8","24.3","25.3","25.6","26.0","26.1","26.0","24.6"
"13","1010.8","1013.3","1012.9","2020/05/13 08:57:00","1009.4","2020/05/13 02:07:00","25.3","28.4","2020/05/13 09:34:00","22.6","2020/05/13 00:01:00","19.3","70","48","2020/05/13 09:06:00","5.9","50","15.3","50","2020/05/13 13:47:00","0.0","0.0","0.0","--","0.0","--","12.0","90.4","26.62","14.3","7.5","11","2020/05/13 13:00:00","1.2","24.0","24.8","25.0","25.2","25.5","25.5","24.7"
