"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.6","1012.1","1011.3","2021/05/01 23:46:00","1007.7","2021/05/01 02:48:00","23.6","26.9","2021/05/01 11:26:00","20.7","2021/05/01 23:30:00","19.8","80","58","2021/05/01 11:19:00","4.1","210","12.0","230","2021/05/01 13:26:00","0.0","0.0","0.0","--","0.0","--","6.6","50.5","19.41","16.7","4.2","9","2021/05/01 12:00:00","8.5","23.0","22.7","22.6","22.4","23.1","22.4","22.3"
"02","1012.1","1014.6","1014.0","2021/05/02 10:18:00","1010.5","2021/05/02 03:10:00","24.4","27.2","2021/05/02 11:40:00","20.8","2021/05/02 05:39:00","21.8","86","67","2021/05/02 09:36:00","3.7","40","12.1","60","2021/05/02 21:33:00","0.0","0.0","0.0","--","0.0","--","8.8","67.3","22.64","13.7","5.8","10","2021/05/02 12:00:00","7.2","24.2","23.8","23.2","22.9","23.5","22.6","22.3"
"03","1011.3","1013.8","1013.0","2021/05/03 09:30:00","1010.3","2021/05/03 16:25:00","24.5","28.3","2021/05/03 11:50:00","21.9","2021/05/03 02:19:00","21.6","85","65","2021/05/03 11:42:00","1.9","250","6.6","250","2021/05/03 13:50:00","T","0.7","T","2021/05/03 21:34:00","T","2021/05/03 21:34:00","1.1","8.4","12.27","12.0","-2.5","7","2021/05/03 12:00:00","9.8","24.4","23.9","23.6","23.4","23.9","22.9","22.4"
"04","1009.2","1011.7","1010.8","2021/05/04 07:15:00","1007.1","2021/05/04 15:29:00","25.6","28.9","2021/05/04 11:23:00","22.9","2021/05/04 04:21:00","22.7","85","56","2021/05/04 11:34:00","2.5","230","8.3","280","2021/05/04 12:25:00","T","0.1","T","2021/05/04 00:05:00","T","2021/05/04 00:05:00","4.0","30.5","19.56","11.0","-3.7","11","2021/05/04 12:00:00","7.8","25.7","25.0","24.2","23.8","24.2","23.2","22.5"
"05","1012.5","1015.0","1014.7","2021/05/05 21:22:00","1008.7","2021/05/05 04:02:00","22.3","26.0","2021/05/05 00:05:00","19.4","2021/05/05 18:39:00","20.0","87","71","2021/05/05 16:10:00","6.5","50","17.7","40","2021/05/05 13:14:00","4.0","5.0","1.5","2021/05/05 07:18:00","3.0","2021/05/05 06:53:00","0.7","5.3","6.32","12.0","-3.6","3","2021/05/05 10:00:00","9.2","22.7","23.3","23.8","23.9","24.6","23.5","22.7"
"06","1013.0","1015.5","1014.5","2021/05/06 08:51:00","1011.6","2021/05/06 16:03:00","22.9","25.7","2021/05/06 14:24:00","20.3","2021/05/06 00:01:00","20.5","87","80","2021/05/06 12:41:00","3.5","40","10.8","50","2021/05/06 00:13:00","0.0","0.0","0.0","--","0.0","--","5.2","39.5","18.90","15.3","3.4","10","2021/05/06 13:00:00","6.5","23.7","23.4","23.0","23.0","23.8","23.2","22.8"
"07","1010.1","1012.6","1012.2","2021/05/07 09:42:00","1007.9","2021/05/07 16:49:00","25.1","27.7","2021/05/07 11:26:00","22.3","2021/05/07 02:19:00","22.9","87","77","2021/05/07 12:49:00","3.5","210","12.3","250","2021/05/07 12:28:00","0.0","0.0","0.0","--","0.0","--","10.4","78.9","24.83","17.3","4.3","12","2021/05/07 13:00:00","4.2","25.1","24.7","24.0","23.7","24.2","23.3","22.9"
"08","1007.8","1010.3","1009.0","2021/05/08 18:10:00","1006.7","2021/05/08 14:58:00","25.1","27.8","2021/05/08 11:34:00","22.8","2021/05/08 22:33:00","23.2","90","81","2021/05/08 11:18:00","3.0","220","11.1","260","2021/05/08 10:30:00","0.0","0.0","0.0","--","0.0","--","2.2","16.7","14.16","14.7","4.4","9","2021/05/08 11:00:00","7.5","25.1","24.9","24.6","24.2","24.7","23.6","22.9"
"09","1007.3","1009.8","1009.3","2021/05/09 10:05:00","1005.6","2021/05/09 16:28:00","25.6","28.1","2021/05/09 11:41:00","23.2","2021/05/09 00:01:00","23.2","87","77","2021/05/09 11:33:00","1.9","300","5.8","200","2021/05/09 22:36:00","T","0.4","T","2021/05/09 21:30:00","T","2021/05/09 21:30:00","3.5","26.5","19.16","18.0","-4.5","12","2021/05/09 12:00:00","8.7","26.0","25.5","24.7","24.3","24.8","23.8","23.1"
"10","1006.6","1009.1","1008.5","2021/05/10 09:22:00","1004.7","2021/05/10 17:03:00","26.3","28.6","2021/05/10 13:35:00","23.6","2021/05/10 05:08:00","23.7","86","76","2021/05/10 15:02:00","3.6","220","10.6","250","2021/05/10 15:05:00","0.0","0.0","0.0","--","0.0","--","10.5","79.3","23.99","16.5","5.8","10","2021/05/10 13:00:00","4.3","26.4","25.8","25.2","24.8","25.2","24.0","23.2"
"11","1005.5","1008.0","1007.2","2021/05/11 09:11:00","1003.9","2021/05/11 17:02:00","27.1","29.1","2021/05/11 11:01:00","25.3","2021/05/11 00:20:00","24.0","83","75","2021/05/11 15:49:00","6.2","230","17.0","230","2021/05/11 07:37:00","0.0","0.0","0.0","--","0.0","--","9.1","68.6","24.49","16.0","6.5","12","2021/05/11 13:00:00","6.8","27.1","26.4","25.6","25.2","25.6","24.3","23.3"
"12","1006.0","1008.5","1008.3","2021/05/12 22:32:00","1004.2","2021/05/12 14:55:00","27.7","30.2","2021/05/12 11:29:00","25.4","2021/05/12 00:02:00","24.3","82","67","2021/05/12 10:06:00","5.2","230","16.9","240","2021/05/12 10:47:00","0.0","0.0","0.0","--","0.0","--","10.4","78.3","26.16","16.7","6.7","13","2021/05/12 12:00:00","3.8","27.6","26.9","25.9","25.6","26.0","24.7","23.5"
"13","1007.0","1009.5","1008.7","2021/05/13 08:50:00","1005.5","2021/05/13 16:45:00","27.9","30.4","2021/05/13 12:36:00","24.9","2021/05/13 04:29:00","24.6","83","70","2021/05/13 08:30:00","3.0","230","10.3","220","2021/05/13 10:09:00","0.0","0.0","0.0","--","0.0","--","11.0","82.8","26.07","15.8","6.8","12","2021/05/13 13:00:00","5.5","28.2","27.7","26.7","26.2","26.5","25.1","23.7"
"14","1007.7","1010.1","1009.3","2021/05/14 07:37:00","1006.4","2021/05/14 16:50:00","27.7","30.2","2021/05/14 13:03:00","24.8","2021/05/14 05:13:00","24.8","84","74","2021/05/14 14:12:00","3.6","220","10.4","260","2021/05/14 15:01:00","0.0","0.0","0.0","--","0.0","--","10.9","81.9","24.61","16.3","6.7","12","2021/05/14 13:00:00","4.5","28.4","27.8","26.9","26.6","26.9","25.6","24.0"
"15","1007.1","1009.6","1009.2","2021/05/15 09:04:00","1005.2","2021/05/15 17:18:00","27.8","30.1","2021/05/15 11:40:00","25.6","2021/05/15 03:34:00","25.1","86","77","2021/05/15 09:23:00","3.7","240","9.4","250","2021/05/15 13:50:00","0.0","0.0","0.0","--","0.0","--","6.8","51.0","23.28","16.7","6.3","12","2021/05/15 12:00:00","5.8","28.7","28.1","27.3","26.9","27.3","25.9","24.2"
"16","1006.3","1008.8","1007.8","2021/05/16 08:36:00","1004.9","2021/05/16 16:10:00","28.3","30.6","2021/05/16 10:27:00","26.3","2021/05/16 23:25:00","25.3","84","71","2021/05/16 10:28:00","5.6","220","16.1","250","2021/05/16 13:32:00","0.0","0.0","0.0","--","0.0","--","11.1","83.2","27.50","24.3","7.0","13","2021/05/16 12:00:00","7.0","29.0","28.5","27.6","27.2","27.6","26.2","24.5"
"17","1007.5","1010.0","1008.9","2021/05/17 09:17:00","1005.8","2021/05/17 01:06:00","28.3","30.9","2021/05/17 12:09:00","25.2","2021/05/17 03:08:00","24.8","81","72","2021/05/17 10:00:00","4.1","240","13.7","240","2021/05/17 10:14:00","0.0","0.0","0.0","--","0.0","--","9.7","72.6","24.98","20.7","6.1","12","2021/05/17 13:00:00","7.7","28.9","28.3","27.7","27.4","27.8","26.5","24.7"
"18","1008.0","1010.5","1009.4","2021/05/18 08:49:00","1006.3","2021/05/18 14:44:00","27.8","30.2","2021/05/18 13:43:00","26.3","2021/05/18 05:07:00","25.0","85","74","2021/05/18 16:45:00","2.4","270","7.4","230","2021/05/18 09:32:00","0.0","0.0","0.0","--","0.0","--","3.7","27.7","20.35","15.3","6.0","11","2021/05/18 12:00:00","8.2","29.4","28.7","28.0","27.7","28.1","26.7","25.0"
"19","1006.5","1009.0","1008.2","2021/05/19 00:21:00","1004.8","2021/05/19 16:06:00","27.9","30.0","2021/05/19 10:42:00","25.6","2021/05/19 04:02:00","25.4","87","77","2021/05/19 11:07:00","2.3","280","8.4","260","2021/05/19 11:07:00","0.0","0.0","0.0","--","0.0","--","4.1","30.6","19.36","15.3","4.6","11","2021/05/19 12:00:00","7.7","29.2","28.6","28.1","27.9","28.2","26.9","25.2"
"20","1006.0","1008.5","1007.5","2021/05/20 09:13:00","1004.8","2021/05/20 13:36:00","28.6","30.4","2021/05/20 13:04:00","27.0","2021/05/20 06:00:00","24.8","80","69","2021/05/20 20:52:00","5.4","210","18.7","250","2021/05/20 11:35:00","0.0","0.0","0.0","--","0.0","--","4.3","32.1","19.20","19.0","6.0","10","2021/05/20 11:00:00","7.0","29.2","28.6","28.1","27.9","28.4","27.1","25.4"
"21","1005.8","1008.3","1007.0","2021/05/21 21:43:00","1004.2","2021/05/21 15:36:00","28.7","31.0","2021/05/21 11:35:00","26.0","2021/05/21 05:04:00","25.6","84","71","2021/05/21 11:35:00","5.0","240","17.7","240","2021/05/21 11:50:00","0.0","0.0","0.0","--","0.0","--","8.1","60.4","22.66","19.7","5.3","10","2021/05/21 12:00:00","5.8","29.2","28.3","27.9","27.7","28.3","27.1","25.6"
"22","1005.6","1008.1","1007.4","2021/05/22 21:56:00","1004.1","2021/05/22 13:38:00","27.8","31.0","2021/05/22 13:10:00","25.9","2021/05/22 23:34:00","25.1","86","73","2021/05/22 13:11:00","4.2","250","15.0","250","2021/05/22 13:21:00","0.0","0.0","0.0","--","0.0","--","4.7","35.0","19.00","18.0","5.8","11","2021/05/22 14:00:00","9.2","29.3","28.8","28.2","28.0","28.4","27.2","25.7"
"23","1006.4","1008.9","1007.6","2021/05/23 08:03:00","1005.2","2021/05/23 16:17:00","28.0","31.1","2021/05/23 10:35:00","24.8","2021/05/23 04:24:00","25.1","85","69","2021/05/23 10:27:00","1.9","240","8.1","250","2021/05/23 15:39:00","0.0","0.0","0.0","--","0.0","--","8.3","61.7","23.91","16.0","6.0","12","2021/05/23 12:00:00","8.2","29.8","29.2","28.4","28.1","28.5","27.3","25.9"
"24","1007.9","1010.4","1010.6","2021/05/24 20:18:00","1006.0","2021/05/24 02:31:00","28.0","31.4","2021/05/24 12:34:00","24.8","2021/05/24 23:58:00","25.1","84","76","2021/05/24 11:49:00","5.3","220","12.9","230","2021/05/24 08:41:00","0.0","0.0","0.0","--","0.0","--","8.8","65.4","26.36","16.0","7.3","13","2021/05/24 13:00:00","5.0","30.0","29.6","28.9","28.5","29.0","27.6","26.0"
"25","1008.8","1011.3","1010.9","2021/05/25 09:12:00","1007.2","2021/05/25 16:24:00","26.4","29.7","2021/05/25 13:39:00","24.1","2021/05/25 04:22:00","23.2","83","71","2021/05/25 13:39:00","4.0","40","12.0","50","2021/05/25 16:06:00","0.0","0.0","0.0","--","0.0","--","7.1","52.7","21.86","16.5","5.1","12","2021/05/25 13:00:00","5.7","28.9","28.9","28.3","28.3","28.9","27.7","26.2"
"26","1006.6","1009.0","1008.7","2021/05/26 07:52:00","1004.4","2021/05/26 17:11:00","27.7","30.2","2021/05/26 13:57:00","24.3","2021/05/26 01:55:00","24.2","81","69","2021/05/26 21:28:00","4.8","240","14.3","230","2021/05/26 23:53:00","0.0","0.0","0.0","--","0.0","--","10.1","74.9","26.23","16.2","8.0","13","2021/05/26 12:00:00","2.5","29.7","29.2","28.5","28.3","28.9","27.7","26.3"
"27","1005.7","1008.2","1008.0","2021/05/27 21:42:00","1004.3","2021/05/27 03:40:00","29.3","31.1","2021/05/27 10:16:00","27.1","2021/05/27 23:30:00","24.8","77","67","2021/05/27 05:18:00","8.1","230","17.5","230","2021/05/27 07:26:00","0.0","0.0","0.0","--","0.0","--","9.5","70.4","25.49","17.7","6.6","12","2021/05/27 13:00:00","9.3","30.3","29.5","28.8","28.5","29.1","27.9","26.4"
"28","1005.7","1008.1","1008.1","2021/05/28 21:10:00","1003.4","2021/05/28 15:19:00","28.3","31.3","2021/05/28 11:37:00","24.9","2021/05/28 22:50:00","25.0","83","70","2021/05/28 11:09:00","6.4","240","20.9","240","2021/05/28 12:25:00","0.5","2.0","0.5","2021/05/28 22:54:00","0.5","2021/05/28 22:54:00","6.2","45.9","21.26","17.7","-4.1","12","2021/05/28 13:00:00","6.8","30.1","29.4","28.8","28.6","29.2","28.0","26.5"
"29","1004.2","1006.7","1006.1","2021/05/29 00:01:00","1002.0","2021/05/29 16:17:00","26.4","28.4","2021/05/29 11:35:00","24.9","2021/05/29 23:10:00","25.1","92","81","2021/05/29 11:57:00","3.7","290","14.2","230","2021/05/29 14:07:00","2.5","3.1","0.5","2021/05/29 09:48:00","1.0","2021/05/29 14:34:00","0.2","1.5","6.94","14.2","-1.3","6","2021/05/29 11:00:00","9.3","27.2","27.7","28.0","28.1","28.9","28.0","26.7"
"30","1002.5","1005.0","1004.5","2021/05/30 21:30:00","1001.0","2021/05/30 15:52:00","25.5","27.8","2021/05/30 09:49:00","24.7","2021/05/30 23:38:00","24.4","94","78","2021/05/30 09:52:00","2.7","290","13.1","300","2021/05/30 12:59:00","22.5","8.0","6.0","2021/05/30 16:47:00","9.5","2021/05/30 16:31:00","0.4","3.0","5.80","15.5","-0.5","6","2021/05/30 10:00:00","9.2","26.7","26.6","26.9","27.1","28.1","27.6","26.7"
"31","1004.0","1006.5","1005.4","2021/05/31 23:37:00","1002.2","2021/05/31 00:01:00","24.3","26.0","2021/05/31 09:51:00","23.3","2021/05/31 15:15:00","23.6","96","85","2021/05/31 09:55:00","2.5","80","7.6","50","2021/05/31 10:34:00","58.5","9.3","6.5","2021/05/31 15:04:00","20.5","2021/05/31 14:27:00","0.0","0.0","4.63","9.0","/","4","2021/05/31 12:00:00","9.5","25.4","25.6","25.9","26.2","27.4","27.0","26.8"
