"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1004.5","1006.9","1006.4","2022/06/01 00:13:00","1002.1","2022/06/01 16:19:00","28.0","30.2","2022/06/01 11:04:00","25.0","2022/06/01 05:21:00","25.6","87","78","2022/06/01 07:13:00","6.0","250","15.4","240","2022/06/01 13:12:00","0.0","0.0","0.0","--","0.0","--","10.4","76.7","26.90","30.0","7.2","13","2022/06/01 13:00:00","6.0","27.4","27.4","26.0","25.6","25.7","24.1","22.8"
"02","1003.6","1006.1","1005.2","2022/06/02 22:55:00","1002.2","2022/06/02 14:19:00","28.2","30.6","2022/06/02 12:15:00","27.0","2022/06/02 03:34:00","25.3","84","72","2022/06/02 09:08:00","6.6","240","16.1","240","2022/06/02 12:21:00","0.0","0.0","0.0","--","0.0","--","5.3","39.1","22.46","30.0","5.8","12","2022/06/02 12:00:00","8.0","27.5","27.5","26.1","25.8","26.1","24.6","23.1"
"03","1004.3","1006.7","1005.8","2022/06/03 22:37:00","1003.2","2022/06/03 14:16:00","28.2","30.6","2022/06/03 10:14:00","27.0","2022/06/03 04:51:00","25.1","84","72","2022/06/03 09:23:00","6.1","240","15.0","240","2022/06/03 10:28:00","0.0","0.0","0.0","--","0.0","--","4.2","30.9","20.28","27.5","5.7","11","2022/06/03 11:00:00","8.0","27.2","27.2","26.2","25.8","26.2","24.9","23.4"
"04","1004.3","1006.8","1005.9","2022/06/04 08:48:00","1002.6","2022/06/04 17:45:00","28.3","30.5","2022/06/04 12:43:00","26.2","2022/06/04 00:48:00","24.8","81","73","2022/06/04 18:46:00","6.4","230","15.7","230","2022/06/04 16:07:00","0.0","0.0","0.0","--","0.0","--","6.4","47.1","24.05","25.0","6.7","13","2022/06/04 13:00:00","7.8","27.7","27.7","26.3","26.0","26.4","25.1","23.7"
"05","1000.9","1003.3","1003.7","2022/06/05 00:01:00","998.8","2022/06/05 16:24:00","29.2","30.9","2022/06/05 14:35:00","27.8","2022/06/05 05:29:00","24.5","76","69","2022/06/05 09:05:00","10.0","230","21.0","220","2022/06/05 13:45:00","0.0","0.0","0.0","--","0.0","--","10.0","73.6","27.32","30.0","6.8","13","2022/06/05 13:00:00","6.8","27.6","27.6","26.4","26.1","26.6","25.3","23.9"
"06","1000.8","1003.2","1004.1","2022/06/06 22:56:00","998.0","2022/06/06 03:04:00","26.7","29.5","2022/06/06 07:39:00","23.1","2022/06/06 22:46:00","23.9","85","69","2022/06/06 01:48:00","7.7","230","23.3","230","2022/06/06 04:19:00","45.5","6.5","5.0","2022/06/06 19:03:00","12.5","2022/06/06 18:37:00","1.8","13.2","7.59","20.0","-3.2","4","2022/06/06 11:00:00","9.8","26.1","26.1","25.7","25.7","26.4","25.5","24.2"
"07","1004.6","1007.1","1006.6","2022/06/07 22:11:00","1002.2","2022/06/07 03:27:00","23.1","24.9","2022/06/07 09:00:00","20.7","2022/06/07 16:08:00","22.3","95","82","2022/06/07 15:58:00","2.2","80","7.0","40","2022/06/07 13:06:00","57.0","6.1","9.0","2022/06/07 12:04:00","27.0","2022/06/07 11:29:00","0.0","0.0","4.74","11.0","/","3","2022/06/07 15:00:00","10.0","24.4","24.4","24.4","24.6","25.6","24.8","24.5"
"08","1006.3","1008.8","1007.6","2022/06/08 22:19:00","1005.5","2022/06/08 15:26:00","22.6","24.6","2022/06/08 12:16:00","21.7","2022/06/08 22:57:00","21.9","96","93","2022/06/08 08:19:00","2.9","80","9.0","50","2022/06/08 13:50:00","47.0","8.0","4.5","2022/06/08 12:44:00","8.0","2022/06/08 12:38:00","0.0","0.0","4.92","8.5","-0.2","4","2022/06/08 11:00:00","10.0","23.5","23.5","23.6","23.8","24.9","24.1","24.4"
"09","1006.0","1008.5","1007.0","2022/06/09 08:19:00","1004.7","2022/06/09 15:16:00","24.8","27.6","2022/06/09 15:10:00","21.7","2022/06/09 00:01:00","23.8","94","84","2022/06/09 11:52:00","2.0","130","5.4","100","2022/06/09 01:08:00","14.5","3.2","3.0","2022/06/09 19:17:00","5.5","2022/06/09 04:30:00","0.0","0.0","8.85","18.0","-0.8","6","2022/06/09 12:00:00","10.0","24.4","24.4","23.7","23.7","24.5","23.8","24.1"
"10","1003.8","1006.3","1005.5","2022/06/10 00:01:00","1002.3","2022/06/10 15:47:00","26.9","29.7","2022/06/10 13:38:00","24.4","2022/06/10 02:56:00","24.5","87","76","2022/06/10 12:04:00","5.3","230","18.3","250","2022/06/10 18:27:00","2.5","3.5","1.0","2022/06/10 07:59:00","2.0","2022/06/10 07:12:00","1.1","8.1","14.10","16.0","-4.1","9","2022/06/10 13:00:00","10.0","25.7","25.7","24.6","24.5","25.1","24.3","24.1"
"11","1005.7","1008.2","1008.2","2022/06/11 22:24:00","1003.2","2022/06/11 03:55:00","25.9","29.4","2022/06/11 08:34:00","23.1","2022/06/11 19:37:00","23.6","87","73","2022/06/11 08:33:00","6.0","230","16.2","240","2022/06/11 10:26:00","2.0","2.5","0.5","2022/06/11 18:50:00","1.0","2022/06/11 22:39:00","1.7","12.5","11.64","16.0","-1.8","6","2022/06/11 10:00:00","10.0","25.4","25.4","25.0","24.8","25.5","24.5","24.1"
"12","1006.2","1008.7","1007.5","2022/06/12 09:27:00","1005.2","2022/06/12 23:58:00","24.8","26.2","2022/06/12 14:06:00","22.7","2022/06/12 00:57:00","23.9","95","88","2022/06/12 14:40:00","2.1","260","7.9","250","2022/06/12 20:29:00","18.0","4.3","2.5","2022/06/12 01:57:00","9.0","2022/06/12 01:18:00","0.3","2.2","8.21","16.0","-1.6","5","2022/06/12 15:00:00","10.0","25.1","25.1","24.4","24.3","25.1","24.5","24.2"
"13","1003.1","1005.6","1005.2","2022/06/13 00:01:00","1002.4","2022/06/13 13:38:00","27.8","30.3","2022/06/13 12:46:00","24.7","2022/06/13 00:02:00","24.8","84","72","2022/06/13 12:40:00","7.7","230","18.7","250","2022/06/13 12:41:00","0.0","0.0","0.0","--","0.0","--","3.0","22.0","18.24","17.0","5.8","13","2022/06/13 12:00:00","9.8","26.0","26.0","25.0","24.8","25.4","24.5","24.2"
"14","1004.5","1007.0","1008.1","2022/06/14 22:06:00","1002.4","2022/06/14 04:51:00","28.0","30.3","2022/06/14 09:39:00","24.7","2022/06/14 23:24:00","24.6","82","66","2022/06/14 08:34:00","7.8","250","18.3","250","2022/06/14 12:51:00","0.0","0.0","0.0","--","0.0","--","3.7","27.1","19.27","23.0","-2.9","9","2022/06/14 12:00:00","9.0","26.6","26.6","25.5","25.3","25.8","24.7","24.2"
"15","1007.3","1009.8","1008.9","2022/06/15 22:18:00","1004.7","2022/06/15 07:29:00","25.5","26.8","2022/06/15 11:02:00","24.2","2022/06/15 01:16:00","24.5","95","87","2022/06/15 11:07:00","3.1","220","19.4","270","2022/06/15 14:03:00","10.5","6.4","1.5","2022/06/15 11:36:00","4.0","2022/06/15 14:12:00","0.0","0.0","3.73","19.0","-1.0","2","2022/06/15 12:00:00","10.0","25.4","25.4","25.1","25.1","25.8","24.9","24.3"
"16","1007.6","1010.1","1009.7","2022/06/16 08:36:00","1006.5","2022/06/16 13:58:00","25.7","27.7","2022/06/16 14:30:00","23.0","2022/06/16 09:08:00","24.3","92","78","2022/06/16 11:39:00","2.6","240","18.0","230","2022/06/16 07:44:00","4.5","2.1","1.5","2022/06/16 08:31:00","4.0","2022/06/16 07:47:00","1.0","7.3","9.65","24.0","-2.2","9","2022/06/16 12:00:00","9.8","25.5","25.5","25.0","24.9","25.6","24.8","24.4"
"17","1005.9","1008.4","1006.9","2022/06/17 22:06:00","1005.2","2022/06/17 17:08:00","27.1","29.2","2022/06/17 10:45:00","24.9","2022/06/17 04:30:00","25.2","90","75","2022/06/17 10:42:00","4.8","240","14.0","250","2022/06/17 13:57:00","0.0","0.0","0.0","--","0.0","--","0.6","4.4","12.88","25.0","3.5","8","2022/06/17 13:00:00","9.5","26.2","26.2","25.3","25.1","25.8","24.9","24.5"
"18","1005.3","1007.8","1006.4","2022/06/18 22:14:00","1004.1","2022/06/18 15:09:00","27.8","30.5","2022/06/18 13:03:00","24.8","2022/06/18 04:03:00","25.0","85","71","2022/06/18 13:21:00","5.0","230","14.4","250","2022/06/18 14:40:00","0.0","0.0","0.0","--","0.0","--","8.5","62.3","24.61","27.5","6.8","12","2022/06/18 12:00:00","9.0","26.8","26.8","25.8","25.5","26.0","25.0","24.5"
"19","1005.0","1007.5","1005.8","2022/06/19 08:31:00","1003.8","2022/06/19 15:29:00","27.9","30.6","2022/06/19 12:44:00","25.5","2022/06/19 04:54:00","25.2","86","75","2022/06/19 08:14:00","4.5","230","13.3","250","2022/06/19 12:12:00","0.0","0.0","0.0","--","0.0","--","9.5","69.6","25.50","22.5","5.9","13","2022/06/19 13:00:00","7.5","27.5","27.5","26.4","26.1","26.5","25.4","24.6"
