"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1010.1","1012.6","1011.3","2025/10/01 09:21:00","1008.7","2025/10/01 14:21:00","28.4","31.5","2025/10/01 10:52:00","25.6","2025/10/01 23:03:00","24.2","79","61","2025/10/01 10:49:00","2.6","190","7.9","40","2025/10/01 17:23:00","0.0","0.0","0.0","--","0.0","--","8.8","74.6","21.59","16.0","/","8","2025/10/01 12:00:00","4.3","1.9","29.5","29.7","30.4","30.3","30.4","29.9","28.7"
"02","1010.5","1013.0","1011.6","2025/10/02 07:49:00","1009.3","2025/10/02 14:57:00","28.6","32.0","2025/10/02 12:45:00","26.2","2025/10/02 06:17:00","24.1","77","60","2025/10/02 13:30:00","1.8","320","6.6","330","2025/10/02 12:15:00","0.0","0.0","0.0","--","0.0","--","9.2","78.2","20.24","13.0","/","8","2025/10/02 12:00:00","6.0","1.8","29.6","29.6","30.3","30.2","30.3","30.0","28.6"
"03","1010.3","1012.8","1011.9","2025/10/03 08:56:00","1009.0","2025/10/03 13:45:00","28.5","32.1","2025/10/03 12:15:00","25.9","2025/10/03 05:40:00","24.8","81","63","2025/10/03 11:51:00","1.9","320","7.3","330","2025/10/03 12:50:00","0.0","0.0","0.0","--","0.0","--","10.2","86.8","21.36","13.0","5.7","7","2025/10/03 12:00:00","3.5","0.6","29.7","29.8","30.4","30.4","30.4","30.0","28.8"
"04","1010.7","1013.1","1012.2","2025/10/04 21:44:00","1009.5","2025/10/04 14:40:00","28.4","31.7","2025/10/04 12:21:00","24.9","2025/10/04 05:49:00","24.9","81","67","2025/10/04 12:58:00","1.7","300","6.7","290","2025/10/04 13:15:00","0.0","0.0","0.0","--","0.0","--","11.0","93.8","21.62","13.5","1.9","8","2025/10/04 12:00:00","2.3","0.3","29.7","29.7","30.4","30.4","30.5","30.0","29.5"
"05","1011.6","1014.1","1013.1","2025/10/05 10:13:00","1010.1","2025/10/05 14:39:00","28.5","32.1","2025/10/05 12:17:00","25.8","2025/10/05 05:17:00","25.0","82","69","2025/10/05 12:18:00","1.8","320","7.0","340","2025/10/05 13:08:00","0.0","0.0","0.0","--","0.0","--","11.1","94.9","21.97","19.0","6.9","8","2025/10/05 12:00:00","2.3","0.1","29.7","29.8","30.4","30.4","30.5","30.1","29.6"
"06","1010.7","1013.2","1012.0","2025/10/06 00:01:00","1009.5","2025/10/06 14:55:00","28.9","32.3","2025/10/06 11:24:00","26.1","2025/10/06 04:52:00","24.8","79","63","2025/10/06 11:53:00","3.2","40","11.4","10","2025/10/06 12:39:00","0.0","0.0","0.0","--","0.0","--","11.0","94.2","22.51","19.0","6.0","8","2025/10/06 12:00:00","1.5","0.3","29.7","29.9","30.6","30.6","30.6","30.1","29.7"
"07","1010.8","1013.3","1011.8","2025/10/07 21:45:00","1009.5","2025/10/07 14:06:00","29.2","33.5","2025/10/07 09:40:00","24.5","2025/10/07 05:00:00","23.2","71","48","2025/10/07 09:33:00","5.7","60","16.7","50","2025/10/07 15:39:00","0.0","0.0","0.0","--","0.0","--","11.4","97.9","22.49","30.0","7.1","8","2025/10/07 12:00:00","1.3","0.3","29.2","29.4","30.2","30.2","30.5","30.1","29.8"
"08","1010.5","1013.0","1011.9","2025/10/08 08:27:00","1008.8","2025/10/08 13:29:00","29.5","33.5","2025/10/08 10:08:00","26.9","2025/10/08 23:30:00","23.5","71","51","2025/10/08 10:04:00","6.5","60","19.5","50","2025/10/08 13:10:00","0.0","0.0","0.0","--","0.0","--","8.6","74.0","19.06","27.5","-5.0","8","2025/10/08 12:00:00","3.3","1.2","29.3","29.5","30.4","30.3","30.5","30.0","29.8"
"09","1009.9","1012.4","1011.2","2025/10/09 09:22:00","1008.3","2025/10/09 14:38:00","28.5","31.9","2025/10/09 10:37:00","26.4","2025/10/09 03:22:00","23.2","74","56","2025/10/09 10:31:00","6.8","60","17.9","40","2025/10/09 14:30:00","T","0.1","T","2025/10/09 02:41:00","T","2025/10/09 02:41:00","9.4","81.0","20.87","25.0","6.1","8","2025/10/09 12:00:00","3.3","2.0","28.9","29.2","30.1","30.0","30.3","30.0","29.8"
"10","1009.0","1011.4","1010.0","2025/10/10 20:47:00","1007.3","2025/10/10 14:29:00","28.8","32.8","2025/10/10 12:51:00","26.2","2025/10/10 05:23:00","23.7","74","56","2025/10/10 12:48:00","6.1","40","15.7","50","2025/10/10 11:23:00","0.0","0.0","0.0","--","0.0","--","11.2","96.8","21.96","28.8","5.7","8","2025/10/10 12:00:00","1.0","1.9","29.1","29.2","30.0","30.0","30.2","29.9","29.8"
"11","1009.3","1011.7","1010.8","2025/10/11 08:19:00","1008.0","2025/10/11 13:32:00","27.8","31.1","2025/10/11 11:07:00","24.1","2025/10/11 04:29:00","23.9","80","67","2025/10/11 12:09:00","2.2","180","6.1","210","2025/10/11 09:19:00","0.0","0.0","0.0","--","0.0","--","10.1","87.4","19.36","18.5","6.4","7","2025/10/11 12:00:00","7.5","6.9","29.0","29.2","29.9","29.9","30.1","29.8","29.7"
"12","1010.5","1013.0","1012.0","2025/10/12 21:10:00","1009.1","2025/10/12 02:44:00","27.6","31.5","2025/10/12 12:59:00","24.5","2025/10/12 05:04:00","24.0","81","59","2025/10/12 10:33:00","2.1","270","7.9","260","2025/10/12 12:29:00","0.0","0.0","0.0","--","0.0","--","11.0","95.4","21.39","17.0","4.6","7","2025/10/12 12:00:00","4.5","0.6","28.9","29.1","29.8","29.8","30.1","29.8","29.7"
"13","1011.4","1013.9","1012.8","2025/10/13 09:10:00","1010.2","2025/10/13 16:23:00","27.8","30.9","2025/10/13 11:37:00","24.2","2025/10/13 04:33:00","24.4","82","65","2025/10/13 15:11:00","2.0","320","6.6","330","2025/10/13 12:40:00","0.0","0.0","0.0","--","0.0","--","10.6","92.1","20.70","14.0","4.6","7","2025/10/13 12:00:00","3.3","0.3","29.0","29.2","29.9","29.9","30.1","29.7","29.7"
"14","1010.9","1013.4","1012.9","2025/10/14 08:55:00","1008.8","2025/10/14 15:28:00","28.7","32.4","2025/10/14 12:06:00","25.2","2025/10/14 06:00:00","23.8","76","55","2025/10/14 17:43:00","2.6","50","10.8","50","2025/10/14 14:56:00","0.0","0.0","0.0","--","0.0","--","10.6","92.3","20.55","14.5","5.7","7","2025/10/14 12:00:00","3.3","0.2","29.2","29.3","30.0","29.9","30.1","29.7","29.7"
"15","1010.5","1013.0","1012.0","2025/10/15 22:30:00","1008.9","2025/10/15 15:01:00","28.6","33.4","2025/10/15 11:09:00","24.2","2025/10/15 05:56:00","22.6","71","50","2025/10/15 10:03:00","2.8","60","11.5","50","2025/10/15 15:33:00","0.0","0.0","0.0","--","0.0","--","10.4","90.8","20.11","17.0","5.5","7","2025/10/15 12:00:00","4.3","0.5","28.9","29.0","29.8","29.8","30.1","29.7","29.6"
"16","1011.0","1013.5","1012.4","2025/10/16 08:12:00","1009.6","2025/10/16 14:35:00","28.9","33.7","2025/10/16 11:34:00","24.5","2025/10/16 06:03:00","22.9","71","51","2025/10/16 09:37:00","4.8","60","14.2","30","2025/10/16 15:12:00","0.0","0.0","0.0","--","0.0","--","10.9","95.3","20.77","16.0","6.3","7","2025/10/16 12:00:00","1.3","0.1","28.9","28.9","29.7","29.7","30.0","29.7","29.6"
"17","1010.7","1013.2","1012.3","2025/10/17 08:41:00","1009.2","2025/10/17 14:51:00","29.7","34.6","2025/10/17 11:53:00","26.7","2025/10/17 05:58:00","22.9","68","47","2025/10/17 11:21:00","3.4","70","13.0","60","2025/10/17 00:26:00","0.0","0.0","0.0","--","0.0","--","9.2","80.6","18.26","19.3","5.0","7","2025/10/17 12:00:00","6.5","5.1","29.4","29.3","30.1","30.0","30.1","29.6","29.6"
"18","1009.8","1012.3","1011.3","2025/10/18 21:38:00","1008.0","2025/10/18 14:47:00","29.2","33.5","2025/10/18 10:19:00","25.8","2025/10/18 03:27:00","23.4","71","52","2025/10/18 09:29:00","6.4","60","19.3","40","2025/10/18 15:08:00","0.0","0.0","0.0","--","0.0","--","10.9","95.7","20.41","25.0","-6.7","7","2025/10/18 13:00:00","1.3","0.2","29.2","29.2","30.0","29.9","30.1","29.7","29.6"
"19","1009.9","1012.4","1012.3","2025/10/19 21:58:00","1006.7","2025/10/19 14:00:00","27.0","29.4","2025/10/19 14:26:00","24.1","2025/10/19 21:33:00","23.2","81","59","2025/10/19 14:27:00","8.5","60","22.9","50","2025/10/19 16:13:00","72.5","5.9","14.0","2025/10/19 20:00:00","31.5","2025/10/19 19:19:00","3.9","34.3","13.20","25.0","/","6","2025/10/19 11:00:00","9.5","9.3","27.9","28.2","29.2","29.4","29.9","29.7","29.7"
"20","1011.8","1014.3","1014.1","2025/10/20 20:54:00","1009.8","2025/10/20 04:29:00","24.0","25.1","2025/10/20 00:22:00","22.7","2025/10/20 23:16:00","22.5","91","85","2025/10/20 14:15:00","11.2","40","24.4","50","2025/10/20 20:16:00","100.0","22.2","11.5","2025/10/20 07:41:00","30.0","2025/10/20 07:32:00","0.0","0.0","1.95","5.8","/","1","2025/10/20 13:00:00","10.0","10.0","24.4","25.3","26.4","26.5","28.2","27.1","29.2"
"21","1013.8","1016.3","1015.2","2025/10/21 09:38:00","1012.9","2025/10/21 15:39:00","22.3","23.0","2025/10/21 22:07:00","21.8","2025/10/21 13:58:00","20.6","90","86","2025/10/21 20:55:00","10.5","40","23.9","40","2025/10/21 20:54:00","46.0","23.0","2.0","2025/10/21 03:35:00","6.0","2025/10/21 03:11:00","0.0","0.0","2.07","4.0","/","1","2025/10/21 12:00:00","10.0","10.0","22.7","23.5","24.6","24.9","26.7","26.4","27.4"
"22","1013.6","1016.1","1015.1","2025/10/22 19:28:00","1012.1","2025/10/22 03:28:00","22.6","23.3","2025/10/22 23:43:00","21.4","2025/10/22 19:26:00","20.5","88","80","2025/10/22 14:09:00","11.5","40","24.0","40","2025/10/22 22:42:00","14.0","20.9","1.0","2025/10/22 19:22:00","3.0","2025/10/22 18:33:00","0.0","0.0","1.95","8.0","/","1","2025/10/22 11:00:00","10.0","10.0","22.4","23.0","24.0","24.2","25.7","25.6","26.4"
"23","1014.1","1016.6","1016.0","2025/10/23 22:57:00","1012.1","2025/10/23 03:01:00","23.1","24.0","2025/10/23 20:44:00","21.5","2025/10/23 14:49:00","21.2","89","81","2025/10/23 20:29:00","10.2","50","23.2","30","2025/10/23 06:24:00","118.5","19.8","7.5","2025/10/23 13:45:00","36.5","2025/10/23 12:22:00","0.0","0.0","1.30","9.5","/","1","2025/10/23 11:00:00","10.0","10.0","22.5","22.9","23.7","23.9","25.2","25.2","25.9"
"24","1014.0","1016.5","1015.6","2025/10/24 00:01:00","1012.2","2025/10/24 14:20:00","23.0","24.3","2025/10/24 14:48:00","22.0","2025/10/24 23:55:00","21.5","91","81","2025/10/24 15:16:00","9.3","50","20.9","50","2025/10/24 04:41:00","16.5","18.0","2.0","2025/10/24 17:55:00","3.5","2025/10/24 17:55:00","0.0","0.0","2.71","5.3","/","1","2025/10/24 14:00:00","10.0","10.0","22.7","23.0","23.7","23.9","24.9","24.9","25.7"
"25","1013.0","1015.5","1014.4","2025/10/25 08:08:00","1011.3","2025/10/25 15:38:00","23.4","24.5","2025/10/25 23:28:00","22.0","2025/10/25 00:01:00","22.2","93","86","2025/10/25 22:54:00","7.5","50","17.8","40","2025/10/25 00:27:00","26.5","19.3","1.5","2025/10/25 01:59:00","5.0","2025/10/25 07:33:00","0.0","0.0","1.68","5.5","/","1","2025/10/25 13:00:00","10.0","9.4","23.0","23.2","23.9","23.9","24.8","24.7","25.5"
"26","1014.2","1016.7","1016.8","2025/10/26 22:39:00","1012.4","2025/10/26 01:54:00","23.4","24.3","2025/10/26 02:27:00","21.1","2025/10/26 23:26:00","20.2","83","70","2025/10/26 19:35:00","7.6","50","17.0","40","2025/10/26 16:41:00","4.5","8.5","0.5","2025/10/26 03:09:00","1.5","2025/10/26 05:42:00","0.0","0.0","2.52","16.5","-1.7","1","2025/10/26 13:00:00","10.0","9.5","22.5","23.1","23.8","23.9","24.8","24.7","25.4"
"27","1015.5","1018.0","1017.4","2025/10/27 08:47:00","1013.6","2025/10/27 15:17:00","22.3","24.0","2025/10/27 12:54:00","20.8","2025/10/27 06:15:00","19.1","82","73","2025/10/27 12:49:00","8.3","60","20.3","70","2025/10/27 11:11:00","1.0","2.2","1.0","2025/10/27 04:38:00","1.0","2025/10/27 04:38:00","1.3","11.6","9.92","23.8","-0.9","4","2025/10/27 12:00:00","9.3","9.4","21.7","22.3","23.2","23.4","24.4","24.5","25.3"
"28","1015.5","1018.0","1017.7","2025/10/28 20:04:00","1013.7","2025/10/28 04:44:00","21.5","22.2","2025/10/28 10:27:00","20.9","2025/10/28 05:52:00","19.6","89","75","2025/10/28 22:38:00","7.4","60","17.5","50","2025/10/28 17:14:00","8.0","13.1","2.0","2025/10/28 06:29:00","3.0","2025/10/28 05:53:00","0.0","0.0","3.92","11.0","-0.9","2","2025/10/28 12:00:00","10.0","10.0","21.6","22.2","23.0","23.2","24.2","24.4","25.0"
"29","1014.3","1016.8","1016.4","2025/10/29 00:10:00","1012.5","2025/10/29 15:04:00","23.7","27.1","2025/10/29 13:16:00","20.9","2025/10/29 01:54:00","19.1","76","64","2025/10/29 12:06:00","8.3","60","19.8","70","2025/10/29 10:54:00","T","0.3","T","2025/10/29 02:11:00","T","2025/10/29 02:11:00","9.2","82.5","19.23","30.0","5.4","7","2025/10/29 12:00:00","6.3","6.7","21.7","22.1","22.9","23.0","23.8","24.2","24.8"
"30","1012.5","1015.0","1014.1","2025/10/30 08:16:00","1010.1","2025/10/30 14:44:00","26.1","29.9","2025/10/30 11:55:00","24.0","2025/10/30 00:01:00","22.5","81","62","2025/10/30 11:49:00","3.3","70","11.8","60","2025/10/30 04:35:00","T","0.1","T","2025/10/30 13:06:00","T","2025/10/30 13:06:00","3.7","33.2","13.05","16.0","-2.7","6","2025/10/30 12:00:00","8.3","9.0","24.0","23.7","24.2","24.1","24.2","24.4","24.9"
"31","1014.1","1016.6","1015.8","2025/10/31 22:12:00","1012.1","2025/10/31 02:02:00","23.9","25.7","2025/10/31 11:16:00","23.0","2025/10/31 17:11:00","19.5","77","64","2025/10/31 23:45:00","6.4","50","12.8","30","2025/10/31 14:30:00","0.0","0.0","0.0","--","0.0","--","4.5","40.5","13.02","17.0","5.5","5","2025/10/31 12:00:00","9.8","9.7","23.3","23.9","24.6","24.6","24.9","24.9","25.2"
