"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1022.3","1024.9","1024.9","2021/01/01 00:01:00","1019.6","2021/01/01 15:15:00","13.1","15.4","2021/01/01 12:33:00","10.3","2021/01/01 00:04:00","7.0","67","58","2021/01/01 09:47:00","6.6","60","15.6","40","2021/01/01 13:35:00","0.0","0.0","0.0","--","0.0","--","2.6","24.6","10.67","16.7","3.1","X","2021/01/01 10:00:00","7.8","12.9","13.5","14.2","14.8","16.5","17.4","20.3"
"02","1020.6","1023.2","1022.8","2021/01/02 04:29:00","1018.9","2021/01/02 15:09:00","14.4","17.2","2021/01/02 11:48:00","12.8","2021/01/02 06:53:00","9.7","73","61","2021/01/02 11:52:00","7.7","60","17.8","30","2021/01/02 13:45:00","0.0","0.0","0.0","--","0.0","--","4.3","40.6","12.44","17.3","4.0","X","2021/01/02 10:00:00","6.7","14.0","14.4","14.9","15.4","16.7","17.1","19.9"
"03","1020.0","1022.6","1021.6","2021/01/03 06:01:00","1017.8","2021/01/03 14:57:00","17.2","20.5","2021/01/03 11:50:00","14.0","2021/01/03 00:07:00","13.2","78","64","2021/01/03 10:27:00","6.2","40","15.8","40","2021/01/03 14:27:00","0.0","0.0","0.0","--","0.0","--","9.9","93.5","15.60","18.7","-2.5","X","2021/01/03 10:00:00","4.0","15.8","15.6","15.7","15.8","17.0","17.1","19.7"
"04","1018.6","1021.2","1020.9","2021/01/04 00:01:00","1016.2","2021/01/04 13:44:00","16.6","17.6","2021/01/04 13:40:00","15.6","2021/01/04 04:46:00","15.6","94","89","2021/01/04 00:01:00","6.8","40","17.2","30","2021/01/04 11:05:00","3.5","6.3","0.5","2021/01/04 02:00:00","1.0","2021/01/04 21:45:00","0.0","0.0","2.71","7.5","-0.6","X","2021/01/04 10:00:00","10.0","16.2","16.2","16.5","16.6","17.6","17.5","19.5"
"05","1018.4","1021.0","1020.0","2021/01/05 20:47:00","1016.6","2021/01/05 13:35:00","15.6","16.8","2021/01/05 10:46:00","14.0","2021/01/05 21:52:00","14.1","91","84","2021/01/05 12:24:00","7.9","40","17.2","40","2021/01/05 22:13:00","3.5","5.8","0.5","2021/01/05 06:44:00","1.0","2021/01/05 06:35:00","0.0","0.0","3.88","9.3","-1.2","X","2021/01/05 10:00:00","9.8","15.7","16.0","16.5","16.8","17.8","17.7","19.5"
"06","1017.3","1019.9","1019.6","2021/01/06 01:14:00","1014.4","2021/01/06 14:15:00","14.3","15.7","2021/01/06 09:56:00","13.4","2021/01/06 18:53:00","12.7","90","83","2021/01/06 09:26:00","8.2","50","18.2","40","2021/01/06 13:43:00","7.0","11.8","1.0","2021/01/06 04:57:00","2.0","2021/01/06 04:22:00","0.0","0.0","3.18","8.7","-0.7","X","2021/01/06 10:00:00","10.0","14.7","15.2","15.8","16.2","17.5","17.7","19.5"
"07","1020.3","1022.9","1023.6","2021/01/07 23:58:00","1017.1","2021/01/07 02:28:00","11.1","13.8","2021/01/07 00:09:00","8.5","2021/01/07 23:55:00","9.7","91","86","2021/01/07 22:17:00","10.5","40","22.2","60","2021/01/07 17:08:00","16.5","18.4","1.0","2021/01/07 03:02:00","2.5","2021/01/07 02:27:00","0.0","0.0","1.47","6.5","-1.3","X","2021/01/07 10:00:00","10.0","12.6","13.7","14.7","15.4","16.9","17.3","19.4"
"08","1023.7","1026.4","1024.7","2021/01/08 08:59:00","1022.5","2021/01/08 14:33:00","7.4","8.2","2021/01/08 19:17:00","6.3","2021/01/08 03:59:00","3.4","77","62","2021/01/08 19:01:00","7.8","40","20.5","50","2021/01/08 00:26:00","3.0","7.3","0.5","2021/01/08 00:41:00","1.0","2021/01/08 00:09:00","0.0","0.0","0.69","11.5","-1.0","X","2021/01/08 10:00:00","10.0","9.7","11.2","12.6","13.7","15.6","16.5","19.2"
"09","1023.3","1026.0","1024.8","2021/01/09 09:19:00","1021.3","2021/01/09 14:11:00","8.4","10.1","2021/01/09 13:04:00","7.5","2021/01/09 00:11:00","2.0","64","59","2021/01/09 03:31:00","6.6","70","16.2","60","2021/01/09 13:42:00","0.0","0.0","0.0","--","0.0","--","1.6","15.0","6.61","17.3","1.7","X","2021/01/09 10:00:00","8.5","9.8","10.9","11.9","12.7","14.6","15.6","18.9"
"10","1020.8","1023.6","1023.1","2021/01/10 01:01:00","1018.5","2021/01/10 15:05:00","12.2","16.0","2021/01/10 11:33:00","8.7","2021/01/10 01:36:00","5.7","65","54","2021/01/10 11:34:00","7.1","60","17.3","50","2021/01/10 12:42:00","T","0.6","T","2021/01/10 23:02:00","T","2021/01/10 23:02:00","2.8","26.3","10.29","18.7","-1.2","X","2021/01/10 10:00:00","7.2","11.2","11.5","12.1","12.7","14.3","15.1","18.6"
"11","1021.8","1024.5","1023.6","2021/01/11 21:43:00","1020.3","2021/01/11 00:10:00","10.7","12.4","2021/01/11 00:01:00","8.7","2021/01/11 23:48:00","8.5","86","75","2021/01/11 16:13:00","6.5","40","15.5","40","2021/01/11 11:51:00","6.5","20.7","0.5","2021/01/11 04:55:00","1.5","2021/01/11 07:47:00","0.0","0.0","0.67","7.8","-0.2","X","2021/01/11 10:00:00","10.0","11.4","12.0","12.7","13.2","14.6","15.1","18.2"
"12","1020.6","1023.3","1023.3","2021/01/12 00:02:00","1018.6","2021/01/12 15:00:00","9.7","12.9","2021/01/12 13:21:00","8.0","2021/01/12 04:24:00","4.6","71","54","2021/01/12 12:14:00","4.4","40","11.3","40","2021/01/12 15:05:00","1.0","3.1","0.5","2021/01/12 00:01:00","0.5","2021/01/12 00:01:00","6.0","56.2","11.58","11.5","2.4","X","2021/01/12 10:00:00","5.0","10.8","11.6","12.3","12.8","14.3","14.9","17.9"
"13","1017.0","1019.6","1018.8","2021/01/13 00:01:00","1013.7","2021/01/13 15:01:00","12.1","17.6","2021/01/13 14:59:00","6.8","2021/01/13 05:31:00","6.3","69","48","2021/01/13 10:51:00","3.1","70","8.8","80","2021/01/13 09:33:00","0.0","0.0","0.0","--","0.0","--","10.2","95.5","16.55","16.2","2.1","X","2021/01/13 10:00:00","0.2","11.4","11.9","12.4","12.8","14.2","14.7","17.7"
"14","1014.8","1017.5","1016.8","2021/01/14 00:41:00","1013.2","2021/01/14 14:03:00","13.5","19.6","2021/01/14 15:13:00","7.5","2021/01/14 06:53:00","8.5","74","46","2021/01/14 11:27:00","2.4","100","7.1","20","2021/01/14 13:55:00","0.0","0.0","0.0","--","0.0","--","10.3","96.3","16.40","20.3","1.5","X","2021/01/14 10:00:00","0.0","12.2","12.6","13.0","13.2","14.5","14.7","17.5"
