"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1018.1","1020.7","1020.6","2022/12/01 08:07:00","1016.1","2022/12/01 14:34:00","17.9","19.5","2022/12/01 11:38:00","16.8","2022/12/01 08:12:00","17.3","96","87","2022/12/01 11:40:00","11.0","50","20.4","60","2022/12/01 15:59:00","4.0","8.5","1.0","2022/12/01 03:11:00","1.5","2022/12/01 03:11:00","0.5","4.7","6.90","17.4","-1.4","5","2022/12/01 11:00:00","9.8","18.5","18.5","19.8","20.3","21.9","22.5","23.7"
"02","1016.3","1018.9","1019.9","2022/12/02 08:46:00","1013.8","2022/12/02 15:47:00","18.7","20.5","2022/12/02 23:07:00","16.8","2022/12/02 05:43:00","18.3","97","89","2022/12/02 14:20:00","9.8","50","20.1","60","2022/12/02 11:55:00","4.0","6.7","1.0","2022/12/02 08:51:00","2.0","2022/12/02 08:38:00","2.1","19.8","7.63","14.4","-0.8","3","2022/12/02 12:00:00","8.4","18.8","18.8","19.5","19.8","21.3","21.9","23.5"
"03","1014.1","1016.7","1016.6","2022/12/03 08:22:00","1012.1","2022/12/03 15:14:00","20.8","22.5","2022/12/03 13:42:00","19.5","2022/12/03 04:20:00","20.8","100","98","2022/12/03 11:56:00","6.6","40","13.0","30","2022/12/03 01:23:00","5.5","11.2","0.5","2022/12/03 01:19:00","1.5","2022/12/03 07:25:00","1.0","9.4","6.94","8.1","-0.4","4","2022/12/03 14:00:00","9.4","20.7","20.7","20.3","20.4","21.5","21.6","23.2"
"04","1015.7","1018.3","1017.6","2022/12/04 21:15:00","1012.9","2022/12/04 01:38:00","20.0","21.7","2022/12/04 02:18:00","19.0","2022/12/04 21:17:00","19.9","100","98","2022/12/04 12:14:00","8.2","40","17.2","40","2022/12/04 12:39:00","3.5","11.9","0.5","2022/12/04 08:57:00","1.5","2022/12/04 20:52:00","0.0","0.0","3.13","8.0","-0.2","2","2022/12/04 13:00:00","10.0","20.4","20.4","20.7","20.8","21.8","21.8","22.9"
"05","1018.0","1020.6","1020.1","2022/12/05 10:07:00","1015.3","2022/12/05 02:34:00","17.0","19.1","2022/12/05 00:01:00","15.7","2022/12/05 20:14:00","16.9","100","97","2022/12/05 20:46:00","8.8","40","20.0","50","2022/12/05 20:20:00","16.0","21.0","0.5","2022/12/05 00:58:00","1.5","2022/12/05 03:58:00","0.0","0.0","3.48","4.4","-0.3","2","2022/12/05 13:00:00","10.0","18.5","18.5","19.6","19.9","21.3","21.5","22.4"
"06","1016.3","1018.9","1018.8","2022/12/06 00:01:00","1014.0","2022/12/06 13:48:00","17.7","20.0","2022/12/06 12:17:00","15.6","2022/12/06 02:10:00","15.8","89","76","2022/12/06 12:23:00","9.0","50","19.5","60","2022/12/06 14:40:00","3.0","3.1","0.5","2022/12/06 00:38:00","1.0","2022/12/06 00:38:00","3.8","35.9","11.96","30.0","-2.0","6","2022/12/06 13:00:00","8.0","17.6","17.6","18.4","18.8","20.3","20.3","21.6"
"07","1016.3","1018.9","1017.8","2022/12/07 09:23:00","1015.0","2022/12/07 02:27:00","18.8","19.6","2022/12/07 12:24:00","18.0","2022/12/07 18:34:00","18.2","96","87","2022/12/07 00:03:00","7.4","50","17.2","50","2022/12/07 21:59:00","T","2.2","T","2022/12/07 05:18:00","T","2022/12/07 05:18:00","0.0","0.0","2.44","23.0","-0.5","1","2022/12/07 13:00:00","9.8","18.7","18.7","18.8","19.0","20.3","20.2","21.7"
"08","1015.2","1017.8","1017.2","2022/12/08 08:39:00","1013.7","2022/12/08 23:39:00","18.7","20.2","2022/12/08 12:57:00","17.8","2022/12/08 04:47:00","18.1","96","84","2022/12/08 13:16:00","5.7","50","15.4","40","2022/12/08 04:25:00","0.5","4.5","0.5","2022/12/08 17:54:00","0.5","2022/12/08 17:54:00","0.0","0.0","3.43","25.0","-0.1","3","2022/12/08 13:00:00","10.0","18.7","18.7","18.9","19.0","20.3","20.4","21.8"
"09","1012.0","1014.6","1013.8","2022/12/09 00:01:00","1010.1","2022/12/09 14:25:00","18.8","20.5","2022/12/09 11:05:00","18.0","2022/12/09 05:57:00","18.5","98","92","2022/12/09 00:07:00","5.0","50","15.1","50","2022/12/09 17:21:00","6.5","7.9","0.5","2022/12/09 03:53:00","1.5","2022/12/09 14:46:00","0.1","0.9","4.28","16.2","-0.1","3","2022/12/09 12:00:00","9.6","19.0","19.0","19.1","19.2","20.3","20.5","21.7"
