"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1007.9","1010.4","1009.3","2021/09/01 09:07:00","1006.4","2021/09/01 17:28:00","28.9","31.6","2021/09/01 11:19:00","26.2","2021/09/01 03:23:00","25.7","84","70","2021/09/01 10:42:00","2.1","260","7.8","280","2021/09/01 11:58:00","0.0","0.0","0.0","--","0.0","--","9.9","78.9","23.98","12.3","5.0","11","2021/09/01 12:00:00","4.2","29.6","29.2","29.5","29.5","30.3","29.5","29.1"
"02","1006.7","1009.2","1008.6","2021/09/02 00:02:00","1004.7","2021/09/02 17:07:00","29.2","31.9","2021/09/02 12:40:00","27.1","2021/09/02 01:25:00","25.8","83","67","2021/09/02 14:48:00","2.2","270","8.4","220","2021/09/02 08:55:00","0.0","0.0","0.0","--","0.0","--","8.9","71.1","23.10","14.3","5.8","11","2021/09/02 12:00:00","3.5","29.8","29.6","29.8","29.8","30.5","29.6","29.2"
"03","1005.7","1008.1","1006.9","2021/09/03 00:30:00","1003.7","2021/09/03 16:10:00","29.0","31.3","2021/09/03 12:20:00","27.6","2021/09/03 03:38:00","25.4","81","69","2021/09/03 11:49:00","3.2","250","7.8","280","2021/09/03 12:14:00","0.0","0.0","0.0","--","0.0","--","10.5","84.0","25.33","18.7","7.6","12","2021/09/03 12:00:00","3.7","30.0","29.7","29.8","29.8","30.6","29.8","29.2"
"04","1007.0","1009.4","1008.4","2021/09/04 20:53:00","1006.0","2021/09/04 03:45:00","28.7","32.0","2021/09/04 14:01:00","26.3","2021/09/04 23:39:00","24.9","80","62","2021/09/04 13:57:00","2.3","300","7.6","310","2021/09/04 11:17:00","0.0","0.0","0.0","--","0.0","--","7.1","56.9","21.48","16.0","6.2","11","2021/09/04 12:00:00","5.8","29.7","29.6","29.8","29.9","30.7","29.9","29.3"
"05","1007.0","1009.5","1008.8","2021/09/05 23:48:00","1005.6","2021/09/05 15:36:00","28.8","32.6","2021/09/05 13:30:00","24.9","2021/09/05 05:04:00","24.8","80","63","2021/09/05 09:42:00","2.3","320","8.0","120","2021/09/05 18:42:00","0.0","0.0","0.0","--","0.0","--","7.5","60.3","18.46","16.0","-4.6","8","2021/09/05 14:00:00","5.3","29.2","29.1","29.5","29.5","30.5","29.8","29.3"
"06","1008.7","1011.2","1009.8","2021/09/06 20:21:00","1007.7","2021/09/06 02:32:00","29.3","32.3","2021/09/06 12:51:00","26.9","2021/09/06 05:30:00","25.5","80","67","2021/09/06 12:48:00","3.0","260","8.4","230","2021/09/06 08:56:00","T","0.1","T","2021/09/06 01:10:00","T","2021/09/06 01:10:00","11.0","88.6","23.47","16.0","6.0","12","2021/09/06 13:00:00","6.8","30.0","29.7","29.8","29.8","30.6","29.9","29.4"
"07","1008.0","1010.5","1009.7","2021/09/07 00:01:00","1005.8","2021/09/07 17:50:00","29.3","33.0","2021/09/07 13:14:00","26.3","2021/09/07 04:47:00","25.5","81","65","2021/09/07 13:10:00","2.8","200","8.7","20","2021/09/07 17:08:00","0.0","0.0","0.0","--","0.0","--","10.6","85.5","23.84","15.3","6.3","12","2021/09/07 12:00:00","5.2","30.1","29.8","29.9","29.9","30.7","30.0","29.4"
"08","1006.7","1009.1","1007.7","2021/09/08 00:01:00","1005.0","2021/09/08 17:09:00","29.5","32.2","2021/09/08 15:40:00","26.9","2021/09/08 05:55:00","24.7","76","54","2021/09/08 17:59:00","3.4","40","10.3","20","2021/09/08 14:34:00","0.0","0.0","0.0","--","0.0","--","8.3","67.1","19.42","15.3","6.3","11","2021/09/08 12:00:00","5.8","29.8","29.8","30.1","30.1","30.9","30.1","29.5"
"09","1006.7","1009.2","1007.9","2021/09/09 09:50:00","1005.5","2021/09/09 16:38:00","29.8","33.0","2021/09/09 13:05:00","26.5","2021/09/09 05:53:00","23.1","67","53","2021/09/09 16:40:00","2.6","330","7.1","330","2021/09/09 12:47:00","0.0","0.0","0.0","--","0.0","--","9.7","78.6","20.95","18.0","5.1","11","2021/09/09 13:00:00","5.0","30.0","29.6","29.8","29.8","30.7","30.0","29.5"
