"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1015.9","1018.5","1017.4","2025/01/01 00:01:00","1013.9","2025/01/01 15:34:00","16.5","18.1","2025/01/01 10:32:00","14.9","2025/01/01 02:56:00","12.3","77","61","2025/01/01 02:30:00","4.5","60","14.2","70","2025/01/01 08:33:00","3.0","8.2","0.5","2025/01/01 20:11:00","1.5","2025/01/01 20:11:00","0.0","0.0","4.27","15.5","/","2","2025/01/01 13:00:00","9.8","9.6","15.8","15.8","15.6","15.9","17.1","17.4","19.3"
"02","1016.6","1019.2","1018.8","2025/01/02 08:40:00","1014.4","2025/01/02 14:29:00","17.0","19.0","2025/01/02 15:33:00","15.1","2025/01/02 02:35:00","13.3","79","68","2025/01/02 13:26:00","7.5","50","17.6","60","2025/01/02 20:13:00","4.5","4.5","1.5","2025/01/02 00:41:00","3.0","2025/01/02 00:41:00","0.2","1.9","6.68","25.0","-3.2","3","2025/01/02 14:00:00","9.3","10.0","15.9","15.9","16.1","16.3","17.4","17.5","19.3"
"03","1018.7","1021.3","1020.0","2025/01/03 09:17:00","1017.3","2025/01/03 03:00:00","16.2","17.5","2025/01/03 14:01:00","15.2","2025/01/03 21:00:00","9.9","66","59","2025/01/03 11:10:00","9.0","50","18.3","40","2025/01/03 10:49:00","T","0.4","T","2025/01/03 00:06:00","T","2025/01/03 00:06:00","0.1","0.9","5.08","23.8","2.7","3","2025/01/03 14:00:00","9.5","8.8","15.2","15.2","15.7","16.1","17.4","17.6","19.3"
"04","1016.8","1019.4","1019.5","2025/01/04 08:38:00","1014.9","2025/01/04 22:47:00","17.7","20.9","2025/01/04 12:45:00","15.2","2025/01/04 02:24:00","10.7","64","52","2025/01/04 12:17:00","7.9","60","17.9","70","2025/01/04 09:19:00","0.0","0.0","0.0","--","0.0","--","9.9","93.5","16.68","31.3","3.6","6","2025/01/04 13:00:00","1.8","3.0","15.7","15.7","15.5","15.8","17.0","17.4","19.2"
"05","1016.7","1019.3","1018.0","2025/01/05 08:09:00","1015.4","2025/01/05 14:39:00","16.6","19.1","2025/01/05 10:49:00","15.4","2025/01/05 04:01:00","13.8","83","75","2025/01/05 00:03:00","3.2","50","11.3","350","2025/01/05 12:34:00","0.0","0.0","0.0","--","0.0","--","0.3","2.8","6.24","15.0","2.4","3","2025/01/05 13:00:00","8.8","9.8","16.3","16.3","16.2","16.3","17.4","17.4","19.2"
"06","1018.1","1020.7","1019.9","2025/01/06 09:55:00","1016.2","2025/01/06 15:07:00","16.1","18.5","2025/01/06 11:36:00","13.9","2025/01/06 23:13:00","8.9","63","51","2025/01/06 13:41:00","7.6","50","17.1","60","2025/01/06 15:03:00","0.0","0.0","0.0","--","0.0","--","9.5","89.5","15.76","14.0","5.0","5","2025/01/06 13:00:00","1.0","3.4","15.4","15.4","15.9","16.2","17.4","17.5","19.2"
"07","1018.1","1020.7","1019.7","2025/01/07 19:32:00","1016.4","2025/01/07 13:12:00","15.6","19.2","2025/01/07 12:20:00","13.4","2025/01/07 05:35:00","7.3","58","47","2025/01/07 12:07:00","7.8","60","18.0","40","2025/01/07 14:57:00","0.0","0.0","0.0","--","0.0","--","6.5","61.2","13.06","16.0","-4.2","5","2025/01/07 13:00:00","4.8","6.9","14.6","14.6","15.1","15.5","16.9","17.4","19.2"
"08","1018.0","1020.6","1019.9","2025/01/08 23:20:00","1016.2","2025/01/08 13:21:00","16.3","18.9","2025/01/08 12:34:00","15.0","2025/01/08 01:24:00","11.5","73","63","2025/01/08 00:01:00","6.7","50","14.2","40","2025/01/08 14:29:00","T","0.3","T","2025/01/08 06:55:00","T","2025/01/08 06:55:00","2.4","22.6","11.02","18.0","3.3","5","2025/01/08 12:00:00","8.8","9.8","15.5","15.5","15.5","15.7","17.0","17.2","19.1"
"09","1021.9","1024.5","1026.8","2025/01/09 23:40:00","1019.4","2025/01/09 03:05:00","14.8","17.3","2025/01/09 11:37:00","12.7","2025/01/09 23:42:00","7.9","63","54","2025/01/09 12:02:00","9.8","50","21.0","60","2025/01/09 11:44:00","0.0","0.0","0.0","--","0.0","--","1.4","13.2","9.43","15.0","4.5","5","2025/01/09 12:00:00","9.5","9.9","14.6","14.6","15.5","15.8","17.1","17.3","19.1"
"10","1027.3","1030.0","1029.5","2025/01/10 09:15:00","1025.8","2025/01/10 15:34:00","11.9","13.0","2025/01/10 21:23:00","11.0","2025/01/10 06:02:00","5.8","66","57","2025/01/10 01:28:00","9.8","50","20.2","40","2025/01/10 05:30:00","T","0.6","T","2025/01/10 11:01:00","T","2025/01/10 11:01:00","0.0","0.0","1.70","16.0","-3.1","1","2025/01/10 15:00:00","9.5","9.8","12.5","12.5","14.0","14.7","16.3","17.0","19.0"
"11","1025.9","1028.6","1027.7","2025/01/11 09:08:00","1024.3","2025/01/11 15:16:00","12.9","15.1","2025/01/11 11:01:00","11.9","2025/01/11 14:43:00","6.8","67","50","2025/01/11 23:18:00","7.8","60","17.6","60","2025/01/11 03:32:00","T","2.0","T","2025/01/11 11:49:00","T","2025/01/11 11:49:00","0.0","0.0","5.29","17.0","-2.0","4","2025/01/11 11:00:00","9.5","10.0","12.8","12.8","13.8","14.2","15.8","16.5","18.9"
"12","1024.5","1027.1","1026.8","2025/01/12 09:07:00","1021.9","2025/01/12 15:07:00","13.4","17.4","2025/01/12 13:18:00","9.9","2025/01/12 02:50:00","2.8","50","17","2025/01/12 13:19:00","5.3","60","12.1","40","2025/01/12 09:30:00","0.0","0.0","0.0","--","0.0","--","10.0","93.7","17.87","21.5","4.3","7","2025/01/12 13:00:00","0.8","4.0","13.2","13.2","13.8","14.3","15.7","16.3","18.8"
"13","1020.9","1023.5","1023.7","2025/01/13 00:01:00","1018.9","2025/01/13 14:54:00","15.6","20.7","2025/01/13 13:50:00","11.7","2025/01/13 00:01:00","5.3","51","36","2025/01/13 13:56:00","5.8","70","13.5","60","2025/01/13 09:41:00","0.0","0.0","0.0","--","0.0","--","10.3","96.4","17.73","30.0","3.4","7","2025/01/13 13:00:00","0.0","3.0","14.0","14.0","14.0","14.3","15.7","16.2","18.6"
"14","1019.9","1022.5","1021.5","2025/01/14 09:17:00","1018.0","2025/01/14 14:47:00","16.2","20.1","2025/01/14 10:27:00","12.0","2025/01/14 01:32:00","10.8","71","47","2025/01/14 08:42:00","2.1","130","6.1","300","2025/01/14 12:15:00","0.0","0.0","0.0","--","0.0","--","9.5","88.8","16.70","22.5","-2.3","7","2025/01/14 13:00:00","1.0","5.2","14.9","14.9","14.7","14.9","16.0","16.2","18.5"
"15","1023.7","1026.3","1026.2","2025/01/15 20:50:00","1020.1","2025/01/15 00:24:00","14.0","16.6","2025/01/15 00:02:00","11.8","2025/01/15 23:53:00","9.5","75","62","2025/01/15 21:48:00","8.2","60","21.5","60","2025/01/15 08:39:00","1.0","4.4","0.5","2025/01/15 05:43:00","1.0","2025/01/15 05:43:00","0.0","0.0","1.62","11.0","0.3","1","2025/01/15 11:00:00","10.0","8.9","13.8","13.8","15.1","15.4","16.6","16.6","18.4"
"16","1023.5","1026.1","1025.5","2025/01/16 00:10:00","1021.9","2025/01/16 13:26:00","12.8","15.4","2025/01/16 11:24:00","11.2","2025/01/16 16:06:00","6.4","65","55","2025/01/16 23:56:00","8.2","50","16.9","50","2025/01/16 15:46:00","T","0.8","T","2025/01/16 15:06:00","T","2025/01/16 15:06:00","2.9","27.1","9.22","17.0","-3.5","5","2025/01/16 12:00:00","8.5","7.9","12.7","12.7","13.8","14.3","15.8","16.4","18.4"
"17","1021.0","1023.6","1023.5","2025/01/17 06:25:00","1018.3","2025/01/17 23:41:00","13.9","16.3","2025/01/17 12:26:00","12.3","2025/01/17 06:59:00","5.2","56","48","2025/01/17 08:25:00","8.3","50","19.0","50","2025/01/17 12:55:00","0.0","0.0","0.0","--","0.0","--","9.7","90.6","17.41","33.8","3.8","6","2025/01/17 13:00:00","2.0","4.2","13.1","13.1","13.8","14.2","15.6","16.1","18.4"
"18","1016.3","1018.9","1018.4","2025/01/18 07:21:00","1013.6","2025/01/18 15:16:00","16.6","21.6","2025/01/18 11:53:00","13.0","2025/01/18 04:21:00","10.1","66","47","2025/01/18 11:44:00","4.0","60","12.7","80","2025/01/18 09:53:00","T","2.9","T","2025/01/18 19:54:00","T","2025/01/18 19:54:00","4.3","40.1","12.25","33.8","-1.2","6","2025/01/18 12:00:00","6.8","7.8","14.6","14.6","14.4","14.5","15.7","16.0","18.3"
"19","1014.5","1017.1","1016.4","2025/01/19 09:27:00","1012.6","2025/01/19 15:27:00","15.0","17.2","2025/01/19 14:21:00","12.7","2025/01/19 23:10:00","11.8","82","69","2025/01/19 20:10:00","4.2","50","10.6","40","2025/01/19 15:17:00","5.0","5.0","1.0","2025/01/19 00:52:00","2.5","2025/01/19 00:19:00","2.6","24.2","7.96","21.8","2.2","3","2025/01/19 15:00:00","7.3","7.8","14.7","14.7","15.2","15.3","16.4","16.3","18.2"
"20","1013.9","1016.5","1015.8","2025/01/20 22:19:00","1012.5","2025/01/20 07:56:00","15.8","19.9","2025/01/20 11:22:00","12.4","2025/01/20 01:07:00","8.5","62","46","2025/01/20 12:32:00","6.4","60","16.8","50","2025/01/20 13:43:00","0.0","0.0","0.0","--","0.0","--","7.7","71.5","15.73","21.0","4.2","6","2025/01/20 13:00:00","3.3","5.2","14.3","14.3","14.7","15.0","16.2","16.4","18.2"
"21","1014.5","1017.1","1016.0","2025/01/21 08:46:00","1011.7","2025/01/21 14:38:00","18.3","22.9","2025/01/21 13:48:00","15.1","2025/01/21 02:18:00","10.2","60","44","2025/01/21 13:23:00","6.2","60","15.5","60","2025/01/21 10:03:00","0.0","0.0","0.0","--","0.0","--","9.8","90.8","16.77","14.0","4.5","6","2025/01/21 13:00:00","0.8","3.6","15.5","15.5","15.1","15.2","16.3","16.4","18.2"
"22","1015.1","1017.7","1016.5","2025/01/22 09:52:00","1013.1","2025/01/22 03:54:00","17.7","20.4","2025/01/22 09:41:00","16.0","2025/01/22 19:45:00","13.9","79","62","2025/01/22 01:02:00","2.2","120","8.8","90","2025/01/22 00:13:00","T","1.3","T","2025/01/22 11:24:00","T","2025/01/22 11:24:00","0.0","0.0","6.06","8.5","-0.6","3","2025/01/22 14:00:00","10.0","10.0","16.3","16.3","16.1","16.0","16.9","16.7","18.2"
"23","1015.3","1017.9","1017.5","2025/01/23 09:43:00","1013.7","2025/01/23 14:25:00","16.4","18.7","2025/01/23 14:39:00","15.7","2025/01/23 03:06:00","14.2","87","72","2025/01/23 14:28:00","3.6","50","9.7","50","2025/01/23 23:13:00","T","0.5","T","2025/01/23 02:20:00","T","2025/01/23 02:20:00","0.5","4.6","5.87","13.5","-0.6","3","2025/01/23 13:00:00","8.5","8.6","16.1","16.1","16.3","16.4","17.3","17.0","18.3"
"24","1013.3","1015.9","1014.4","2025/01/24 00:01:00","1011.7","2025/01/24 14:16:00","17.5","18.8","2025/01/24 11:36:00","16.7","2025/01/24 00:01:00","15.4","88","83","2025/01/24 20:20:00","7.2","40","15.3","30","2025/01/24 15:01:00","T","0.8","T","2025/01/24 00:01:00","T","2025/01/24 00:01:00","0.5","4.6","7.85","10.0","-1.8","5","2025/01/24 12:00:00","9.0","6.9","16.6","16.6","16.5","16.6","17.5","17.2","18.4"
"25","1014.7","1017.3","1016.6","2025/01/25 09:50:00","1013.1","2025/01/25 02:24:00","17.3","18.3","2025/01/25 14:38:00","16.4","2025/01/25 06:21:00","13.9","81","73","2025/01/25 20:18:00","7.5","50","15.5","50","2025/01/25 03:46:00","T","1.3","T","2025/01/25 07:01:00","T","2025/01/25 07:01:00","0.0","0.0","4.31","12.0","-2.5","2","2025/01/25 12:00:00","9.8","8.7","16.4","16.4","16.6","16.7","17.6","17.4","18.5"
"26","1016.6","1019.2","1019.2","2025/01/26 21:38:00","1014.4","2025/01/26 14:58:00","15.3","17.8","2025/01/26 08:56:00","12.7","2025/01/26 22:47:00","12.0","81","71","2025/01/26 09:07:00","7.7","30","17.7","20","2025/01/26 17:33:00","5.0","6.2","0.5","2025/01/26 16:55:00","1.5","2025/01/26 19:19:00","0.0","0.0","3.18","11.0","/","2","2025/01/26 12:00:00","9.8","9.1","15.4","15.4","16.1","16.3","17.4","17.4","18.5"
"27","1020.5","1023.2","1022.5","2025/01/27 23:46:00","1018.2","2025/01/27 00:06:00","11.2","13.9","2025/01/27 12:50:00","8.9","2025/01/27 22:32:00","5.4","68","50","2025/01/27 14:29:00","6.6","40","15.6","20","2025/01/27 02:23:00","2.0","5.6","0.5","2025/01/27 03:25:00","1.5","2025/01/27 03:25:00","4.0","36.7","9.93","15.0","2.4","6","2025/01/27 14:00:00","7.0","7.8","12.4","12.4","14.2","14.9","16.5","17.0","18.6"
"28","1023.2","1025.8","1025.4","2025/01/28 23:14:00","1020.9","2025/01/28 14:02:00","12.0","16.4","2025/01/28 11:19:00","8.4","2025/01/28 03:08:00","4.1","59","45","2025/01/28 13:46:00","5.8","70","16.3","70","2025/01/28 13:45:00","0.0","0.0","0.0","--","0.0","--","9.6","88.0","18.30","20.0","4.3","7","2025/01/28 12:00:00","2.8","5.4","12.3","12.3","13.2","13.8","15.5","16.3","18.5"
"29","1022.2","1024.9","1025.2","2025/01/29 00:01:00","1019.9","2025/01/29 23:37:00","14.1","18.7","2025/01/29 13:25:00","10.4","2025/01/29 01:28:00","4.3","52","40","2025/01/29 10:21:00","7.2","60","16.0","60","2025/01/29 08:11:00","0.0","0.0","0.0","--","0.0","--","9.4","86.1","19.08","30.0","4.3","7","2025/01/29 13:00:00","2.8","3.7","13.0","13.0","13.3","13.7","15.3","15.9","18.3"
"30","1018.0","1020.6","1020.9","2025/01/30 07:58:00","1015.0","2025/01/30 15:07:00","16.2","21.6","2025/01/30 12:35:00","10.3","2025/01/30 04:12:00","8.3","61","40","2025/01/30 11:31:00","2.9","40","9.8","20","2025/01/30 13:22:00","0.0","0.0","0.0","--","0.0","--","9.5","86.8","18.22","26.5","4.1","7","2025/01/30 13:00:00","0.8","6.1","14.1","14.1","14.0","14.2","15.5","15.8","18.1"
"31","1014.4","1017.0","1016.6","2025/01/31 00:01:00","1012.7","2025/01/31 18:32:00","15.9","18.6","2025/01/31 10:29:00","12.0","2025/01/31 02:42:00","13.1","84","66","2025/01/31 10:25:00","2.2","240","7.3","240","2025/01/31 13:01:00","1.5","2.7","0.5","2025/01/31 19:13:00","1.0","2025/01/31 23:38:00","0.1","0.9","8.02","16.5","-0.1","4","2025/01/31 12:00:00","9.8","9.6","15.0","15.0","14.8","14.9","16.0","16.0","18.0"
