"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1013.5","1016.0","1016.8","2025/03/01 09:23:00","1011.1","2025/03/01 18:43:00","20.2","25.9","2025/03/01 15:09:00","15.2","2025/03/01 04:37:00","16.8","82","57","2025/03/01 11:55:00","1.9","40","6.8","40","2025/03/01 14:12:00","0.0","0.0","0.0","--","0.0","--","6.9","59.5","19.03","13.0","3.7","9","2025/03/01 12:00:00","6.8","7.4","18.3","18.4","18.7","18.6","18.1","17.7","18.2"
"02","1010.7","1013.3","1013.7","2025/03/02 08:27:00","1008.7","2025/03/02 15:16:00","21.9","26.4","2025/03/02 12:24:00","17.7","2025/03/02 06:09:00","18.9","84","63","2025/03/02 13:34:00","1.8","240","6.0","270","2025/03/02 14:24:00","0.0","0.0","0.0","--","0.0","--","4.0","34.4","16.06","16.5","2.2","8","2025/03/02 12:00:00","8.0","9.5","20.0","19.9","20.1","19.9","19.1","18.4","18.4"
"03","1009.0","1011.5","1011.6","2025/03/03 23:34:00","1007.1","2025/03/03 15:04:00","21.3","24.9","2025/03/03 15:37:00","16.2","2025/03/03 22:32:00","20.3","95","84","2025/03/03 15:44:00","1.9","350","10.8","20","2025/03/03 22:01:00","5.0","3.0","3.0","2025/03/03 22:21:00","4.0","2025/03/03 22:06:00","0.0","0.0","4.62","3.9","-0.8","3","2025/03/03 13:00:00","10.0","10.0","20.7","20.6","20.7","20.5","19.8","19.1","18.6"
"04","1009.6","1012.2","1013.2","2025/03/04 23:36:00","1006.2","2025/03/04 15:48:00","18.8","21.2","2025/03/04 05:33:00","15.5","2025/03/04 23:57:00","17.7","94","81","2025/03/04 05:27:00","5.4","50","18.2","10","2025/03/04 17:09:00","34.5","10.9","5.5","2025/03/04 16:38:00","16.0","2025/03/04 16:38:00","0.8","6.9","7.46","13.1","-0.9","6","2025/03/04 14:00:00","9.8","10.0","19.2","19.6","20.0","20.0","20.0","19.5","19.0"
"05","1013.6","1016.2","1015.7","2025/03/05 08:41:00","1010.8","2025/03/05 02:22:00","15.2","16.4","2025/03/05 22:29:00","14.1","2025/03/05 13:33:00","14.3","95","91","2025/03/05 14:22:00","8.9","50","18.2","60","2025/03/05 22:24:00","11.0","10.8","1.0","2025/03/05 00:49:00","2.5","2025/03/05 00:14:00","0.0","0.0","2.52","12.0","-0.2","2","2025/03/05 12:00:00","10.0","9.9","16.1","17.4","17.9","18.3","19.1","19.3","19.3"
"06","1019.4","1022.0","1022.5","2025/03/06 21:56:00","1013.6","2025/03/06 00:30:00","13.0","16.1","2025/03/06 00:01:00","11.7","2025/03/06 06:41:00","11.3","90","77","2025/03/06 23:35:00","10.6","40","20.9","20","2025/03/06 04:13:00","11.5","13.6","1.0","2025/03/06 03:20:00","4.0","2025/03/06 05:45:00","0.0","0.0","2.97","11.0","-1.2","2","2025/03/06 13:00:00","10.0","9.4","13.8","15.5","16.1","16.6","17.9","18.6","18.8"
"07","1018.6","1021.2","1021.4","2025/03/07 00:14:00","1015.5","2025/03/07 14:28:00","14.2","16.7","2025/03/07 12:14:00","12.6","2025/03/07 20:41:00","10.6","79","67","2025/03/07 09:44:00","8.6","60","17.7","60","2025/03/07 00:43:00","3.0","4.9","1.0","2025/03/07 19:10:00","2.0","2025/03/07 19:10:00","0.2","1.7","7.22","16.0","-1.4","5","2025/03/07 12:00:00","10.0","9.9","13.7","14.8","15.4","15.6","16.8","17.7","18.3"
"08","1019.6","1022.2","1021.0","2025/03/08 08:32:00","1018.2","2025/03/08 15:06:00","14.5","15.6","2025/03/08 20:14:00","13.2","2025/03/08 00:05:00","10.4","76","70","2025/03/08 17:18:00","7.1","40","15.4","50","2025/03/08 14:09:00","T","0.2","T","2025/03/08 04:20:00","T","2025/03/08 04:20:00","0.0","0.0","5.36","20.5","3.1","3","2025/03/08 13:00:00","10.0","9.2","13.8","14.7","15.2","15.4","16.4","17.3","18.0"
"09","1020.3","1022.9","1021.9","2025/03/09 10:22:00","1017.9","2025/03/09 15:41:00","17.2","19.4","2025/03/09 13:49:00","15.4","2025/03/09 00:01:00","13.5","79","69","2025/03/09 13:29:00","7.5","50","16.7","70","2025/03/09 13:59:00","0.0","0.0","0.0","--","0.0","--","5.9","50.1","17.73","23.8","3.3","8","2025/03/09 14:00:00","6.5","7.3","15.6","16.0","16.3","16.3","16.5","17.0","18.0"
"10","1018.6","1021.2","1020.6","2025/03/10 09:59:00","1017.2","2025/03/10 16:34:00","16.1","17.8","2025/03/10 12:52:00","14.9","2025/03/10 23:12:00","14.8","93","84","2025/03/10 12:47:00","3.8","20","14.3","30","2025/03/10 04:34:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","8.02","11.0","-1.5","6","2025/03/10 13:00:00","10.0","7.3","16.5","16.9","17.2","17.2","17.3","17.4","18.0"
