"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1015.8","1018.4","1016.9","2025/04/01 08:14:00","1013.7","2025/04/01 03:18:00","14.3","15.3","2025/04/01 23:58:00","13.7","2025/04/01 01:23:00","12.2","88","69","2025/04/01 23:54:00","5.8","50","14.9","40","2025/04/01 06:30:00","11.0","13.2","1.0","2025/04/01 00:30:00","2.0","2025/04/01 05:49:00","0.0","0.0","2.09","10.8","-0.6","1","2025/04/01 12:00:00","10.0","10.0","14.3","15.0","15.5","15.7","16.8","17.0","17.6"
"02","1016.7","1019.3","1018.8","2025/04/02 10:04:00","1015.3","2025/04/02 23:58:00","15.8","18.4","2025/04/02 12:49:00","14.0","2025/04/02 03:30:00","9.2","65","52","2025/04/02 13:19:00","6.3","50","13.0","50","2025/04/02 07:52:00","0.0","0.0","0.0","--","0.0","--","4.7","38.0","17.31","17.0","4.1","9","2025/04/02 13:00:00","6.8","7.7","14.1","15.2","15.9","16.0","16.6","16.9","17.6"
"03","1015.3","1017.9","1016.8","2025/04/03 09:43:00","1014.4","2025/04/03 03:23:00","19.5","23.5","2025/04/03 12:35:00","15.8","2025/04/03 00:01:00","11.4","60","39","2025/04/03 11:29:00","6.6","60","16.3","50","2025/04/03 13:06:00","0.0","0.0","0.0","--","0.0","--","7.1","57.2","21.55","18.0","5.0","10","2025/04/03 13:00:00","6.5","6.5","16.0","16.5","17.1","17.0","17.0","17.1","17.8"
"04","1013.3","1015.9","1015.4","2025/04/04 00:03:00","1011.0","2025/04/04 15:18:00","21.4","27.1","2025/04/04 15:27:00","15.7","2025/04/04 05:01:00","14.2","64","46","2025/04/04 15:33:00","2.9","110","7.7","100","2025/04/04 17:25:00","0.0","0.0","0.0","--","0.0","--","7.0","56.5","21.87","17.0","-3.9","9","2025/04/04 13:00:00","5.8","7.0","18.0","18.2","18.6","18.3","17.8","17.6","18.1"
"05","1013.2","1015.8","1015.3","2025/04/05 09:26:00","1011.7","2025/04/05 02:48:00","18.0","20.7","2025/04/05 00:24:00","16.2","2025/04/05 23:06:00","16.3","90","70","2025/04/05 00:23:00","2.9","210","8.6","310","2025/04/05 07:59:00","9.0","10.9","1.5","2025/04/05 07:56:00","2.5","2025/04/05 07:56:00","0.0","0.0","1.99","10.5","0.0","2","2025/04/05 13:00:00","10.0","10.0","18.0","18.5","18.9","18.9","18.8","18.4","18.5"
"06","1013.6","1016.2","1015.1","2025/04/06 10:18:00","1012.2","2025/04/06 02:05:00","18.6","21.7","2025/04/06 15:12:00","16.1","2025/04/06 04:08:00","15.6","83","56","2025/04/06 23:47:00","3.9","70","11.6","60","2025/04/06 23:53:00","3.0","3.0","0.5","2025/04/06 00:13:00","1.5","2025/04/06 04:01:00","1.2","9.6","8.60","19.0","4.0","4","2025/04/06 15:00:00","8.8","9.4","17.5","18.0","18.4","18.4","18.5","18.4","18.7"
"07","1013.5","1016.0","1015.5","2025/04/07 09:39:00","1011.7","2025/04/07 15:26:00","22.5","27.1","2025/04/07 13:12:00","19.6","2025/04/07 00:02:00","15.4","65","51","2025/04/07 12:41:00","3.9","70","12.9","80","2025/04/07 01:20:00","T","0.1","T","2025/04/07 09:01:00","T","2025/04/07 09:01:00","2.8","22.4","13.44","21.3","-2.5","8","2025/04/07 13:00:00","7.5","8.3","18.5","18.8","19.1","18.8","18.6","18.5","18.6"
"08","1013.5","1016.0","1016.1","2025/04/08 08:14:00","1011.6","2025/04/08 16:28:00","21.6","24.0","2025/04/08 10:29:00","20.4","2025/04/08 05:05:00","19.8","90","75","2025/04/08 10:33:00","1.9","310","6.7","280","2025/04/08 04:10:00","0.0","0.0","0.0","--","0.0","--","3.4","27.1","16.32","12.0","2.6","7","2025/04/08 11:00:00","8.5","9.4","20.4","20.5","20.6","20.5","19.6","19.0","18.8"
"09","1009.8","1012.3","1012.4","2025/04/09 00:29:00","1007.1","2025/04/09 15:53:00","23.0","25.8","2025/04/09 12:52:00","20.1","2025/04/09 06:03:00","20.3","85","67","2025/04/09 12:46:00","2.0","290","10.7","330","2025/04/09 23:30:00","T","0.5","T","2025/04/09 22:01:00","T","2025/04/09 22:01:00","6.0","47.8","20.07","10.0","-3.1","9","2025/04/09 13:00:00","6.0","9.2","21.5","21.5","21.7","21.5","20.4","19.5","19.0"
"10","1006.7","1009.2","1008.1","2025/04/10 00:05:00","1004.9","2025/04/10 05:53:00","20.8","22.7","2025/04/10 09:18:00","19.0","2025/04/10 23:49:00","19.8","94","85","2025/04/10 15:32:00","2.1","120","16.1","250","2025/04/10 09:19:00","53.5","10.7","6.5","2025/04/10 07:55:00","22.5","2025/04/10 07:54:00","0.2","1.6","4.66","8.3","-1.3","3","2025/04/10 15:00:00","10.0","8.3","20.9","21.2","21.5","21.5","21.0","20.1","19.3"
