"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1012.4","1015.0","1014.9","2024/12/01 09:01:00","1010.7","2024/12/01 13:49:00","18.4","22.9","2024/12/01 11:17:00","14.1","2024/12/01 02:21:00","14.5","79","52","2024/12/01 10:27:00","2.2","170","6.7","340","2024/12/01 14:10:00","0.0","0.0","0.0","--","0.0","--","9.5","89.5","16.12","13.5","2.5","6","2024/12/01 12:00:00","1.3","4.1","17.8","17.8","18.2","18.5","19.7","20.1","22.2"
"02","1012.3","1014.9","1014.4","2024/12/02 09:14:00","1010.1","2024/12/02 15:40:00","20.3","25.8","2024/12/02 14:10:00","15.9","2024/12/02 06:52:00","16.3","78","57","2024/12/02 14:01:00","2.6","40","7.6","30","2024/12/02 13:00:00","0.0","0.0","0.0","--","0.0","--","10.0","94.3","16.55","16.0","1.7","6","2024/12/02 12:00:00","1.3","2.6","18.7","18.7","18.8","19.0","20.1","20.2","22.1"
"03","1012.8","1015.3","1014.5","2024/12/03 23:42:00","1011.4","2024/12/03 03:55:00","21.8","25.7","2024/12/03 09:53:00","16.5","2024/12/03 06:29:00","16.2","71","56","2024/12/03 09:50:00","6.0","60","16.0","60","2024/12/03 13:30:00","0.0","0.0","0.0","--","0.0","--","10.3","97.2","16.48","36.3","6.3","6","2024/12/03 12:00:00","0.8","2.9","19.6","19.6","19.4","19.5","20.5","20.4","22.0"
"04","1014.1","1016.7","1015.7","2024/12/04 08:09:00","1012.5","2024/12/04 14:03:00","20.8","23.8","2024/12/04 10:46:00","19.3","2024/12/04 21:22:00","14.3","67","51","2024/12/04 10:47:00","8.5","60","19.4","50","2024/12/04 13:15:00","0.0","0.0","0.0","--","0.0","--","5.8","54.8","13.84","28.8","4.8","6","2024/12/04 13:00:00","7.5","8.1","19.1","19.1","19.4","19.6","20.7","20.7","22.1"
"05","1014.1","1016.7","1016.1","2024/12/05 09:17:00","1012.1","2024/12/05 15:10:00","20.2","22.5","2024/12/05 11:59:00","18.6","2024/12/05 06:12:00","14.8","71","63","2024/12/05 11:22:00","7.5","60","16.2","70","2024/12/05 10:50:00","0.0","0.0","0.0","--","0.0","--","8.5","80.3","14.93","30.0","3.0","6","2024/12/05 12:00:00","3.3","5.7","19.0","19.0","19.3","19.5","20.7","20.7","22.1"
"06","1014.0","1016.6","1015.5","2024/12/06 09:10:00","1011.9","2024/12/06 13:12:00","20.7","23.7","2024/12/06 12:58:00","18.1","2024/12/06 04:59:00","15.5","72","63","2024/12/06 13:02:00","7.5","50","16.4","60","2024/12/06 11:37:00","0.0","0.0","0.0","--","0.0","--","9.8","92.7","16.01","27.5","-5.0","6","2024/12/06 12:00:00","1.8","4.3","19.2","19.2","19.4","19.5","20.7","20.7","22.1"
"07","1016.3","1018.9","1019.2","2024/12/07 22:45:00","1014.1","2024/12/07 13:28:00","18.8","20.3","2024/12/07 10:11:00","15.7","2024/12/07 22:55:00","15.9","83","77","2024/12/07 16:00:00","9.5","50","19.6","40","2024/12/07 22:00:00","0.5","8.5","0.5","2024/12/07 22:41:00","0.5","2024/12/07 22:41:00","0.0","0.0","2.98","18.0","-1.1","2","2024/12/07 12:00:00","10.0","9.3","18.8","18.8","19.4","19.7","20.8","20.8","22.1"
"08","1019.8","1022.4","1021.3","2024/12/08 08:40:00","1018.2","2024/12/08 14:13:00","15.9","17.4","2024/12/08 10:05:00","15.2","2024/12/08 16:49:00","12.1","78","70","2024/12/08 10:09:00","10.0","50","21.6","60","2024/12/08 12:15:00","3.5","7.8","0.5","2024/12/08 00:27:00","1.5","2024/12/08 02:54:00","0.0","0.0","3.40","17.0","-2.6","3","2024/12/08 11:00:00","10.0","9.8","16.3","16.3","17.8","18.5","20.2","20.6","22.1"
"09","1017.1","1019.7","1019.6","2024/12/09 07:43:00","1014.3","2024/12/09 14:28:00","18.1","21.6","2024/12/09 13:21:00","15.4","2024/12/09 00:57:00","12.7","71","58","2024/12/09 13:26:00","7.0","60","15.5","50","2024/12/09 13:09:00","T","0.5","T","2024/12/09 00:42:00","T","2024/12/09 00:42:00","4.0","37.9","12.63","26.3","3.0","6","2024/12/09 12:00:00","7.3","7.8","17.1","17.1","17.5","17.9","19.4","20.1","22.1"
"10","1014.8","1017.4","1016.6","2024/12/10 08:14:00","1013.3","2024/12/10 15:04:00","19.0","22.6","2024/12/10 11:30:00","16.3","2024/12/10 04:35:00","16.2","84","70","2024/12/10 11:30:00","4.7","50","14.8","60","2024/12/10 15:19:00","0.0","0.0","0.0","--","0.0","--","6.1","57.8","12.49","21.5","-2.4","5","2024/12/10 12:00:00","6.0","6.1","18.3","18.3","18.3","18.5","19.7","20.0","21.9"
